DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-06-02 23:00:00,173.8,173.8,173.8,173.8,0.0
2022-06-03 23:00:00,174.5,174.5,174.5,174.5,0.0
2022-06-06 23:00:00,174.4,174.4,174.4,174.4,0.0
2022-06-07 23:00:00,171.1,172.2,168.3,171.6,42.0
2022-06-08 23:00:00,171.9,171.9,171.9,171.9,0.0
2022-06-09 23:00:00,173.2,173.2,173.2,173.2,0.0
2022-06-10 23:00:00,172.3,172.3,172.3,172.3,0.0
2022-06-13 23:00:00,167.9,167.9,167.6,167.6,1.0
2022-06-14 23:00:00,166.1,166.1,166.1,166.1,0.0
2022-06-15 23:00:00,165.8,166.2,165.7,166.2,40.0
2022-06-16 23:00:00,166.9,166.9,166.9,166.9,0.0
2022-06-17 23:00:00,166.3,166.3,166.3,166.3,0.0
2022-06-20 23:00:00,166.4,166.4,166.4,166.4,0.0
2022-06-21 23:00:00,165.6,165.6,165.6,165.6,0.0
2022-06-22 23:00:00,163.5,163.5,163.5,163.5,1.0
2022-06-23 23:00:00,166.1,166.1,166.1,166.1,0.0
2022-06-24 23:00:00,167.0,167.3,166.8,167.0,31.0
2022-06-27 23:00:00,167.2,167.2,167.2,167.2,0.0
2022-06-28 23:00:00,168.2,168.2,168.2,168.2,0.0
2022-06-29 23:00:00,166.6,167.9,166.6,167.8,57.0
2022-06-30 23:00:00,166.8,166.8,165.5,166.8,59.0
2022-07-01 23:00:00,168.2,168.2,167.9,167.9,1.0
2022-07-04 23:00:00,168.9,168.9,168.5,168.5,1.0
2022-07-05 23:00:00,167.0,167.4,166.5,167.1,74.0
2022-07-06 23:00:00,164.2,164.2,164.2,164.2,1.0
2022-07-07 23:00:00,164.4,164.4,163.6,163.6,2.0
2022-07-08 23:00:00,164.0,164.0,164.0,164.0,0.0
2022-07-12 23:00:00,163.4,164.0,162.8,163.6,159.0
2022-07-13 23:00:00,160.1,160.1,158.1,158.5,2.0
2022-07-14 23:00:00,156.1,156.1,156.0,156.0,1.0
2022-07-15 23:00:00,153.2,155.3,153.2,155.3,39.0
2022-07-18 23:00:00,156.4,156.4,154.8,154.8,10.0
2022-07-19 23:00:00,154.6,155.1,154.6,155.1,3.0
2022-07-20 23:00:00,156.7,156.7,154.8,154.8,3.0
2022-07-21 23:00:00,152.8,152.8,152.4,152.4,1.0
2022-07-22 23:00:00,150.7,161.9,149.5,150.3,81.0
2022-07-25 23:00:00,152.2,152.5,152.2,152.5,5.0
2022-07-26 23:00:00,153.2,153.5,152.8,153.4,39.0
2022-07-27 23:00:00,153.1,153.7,151.6,153.7,69.0
2022-07-28 23:00:00,154.0,154.6,154.0,154.6,13.0
2022-07-29 23:00:00,154.7,155.0,153.9,154.8,77.0
2022-08-01 23:00:00,154.1,154.1,152.3,153.4,129.0
2022-08-02 23:00:00,153.0,153.4,153.0,153.2,11.0
2022-08-03 23:00:00,152.3,152.4,151.9,151.9,2.0
2022-08-04 23:00:00,151.0,151.4,151.0,151.4,21.0
2022-08-05 23:00:00,152.3,152.6,152.2,152.2,3.0
2022-08-08 23:00:00,153.6,153.9,153.0,153.3,57.0
2022-08-10 23:00:00,151.2,151.2,151.0,151.0,1.0
2022-08-11 23:00:00,151.8,151.8,151.8,151.8,0.0
2022-08-12 23:00:00,151.5,152.1,151.4,151.7,27.0
2022-08-15 23:00:00,150.0,150.0,150.0,150.0,0.0
2022-08-16 23:00:00,148.3,149.5,148.3,149.1,33.0
2022-08-17 23:00:00,149.8,149.9,149.1,149.4,63.0
2022-08-18 23:00:00,148.9,149.0,148.4,148.5,45.0
2022-08-19 23:00:00,146.7,146.7,146.1,146.2,49.0
2022-08-22 23:00:00,147.3,147.3,146.0,146.1,65.0
2022-08-23 23:00:00,146.1,146.2,145.8,146.2,23.0
2022-08-24 23:00:00,146.1,146.3,145.7,145.9,30.0
2022-08-25 23:00:00,145.2,145.2,144.3,144.5,52.0
2022-08-26 23:00:00,143.4,144.3,143.4,144.3,2.0
2022-08-29 23:00:00,143.6,143.7,143.6,143.7,1.0
2022-08-30 23:00:00,141.6,141.6,140.7,141.0,83.0
2022-08-31 23:00:00,139.9,140.3,139.0,139.0,18.0
2022-09-01 23:00:00,136.7,136.8,135.3,135.5,19.0
