DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-16 23:00:00,1.3883,1.3883,1.3883,1.3883,0.0
2022-05-23 23:00:00,1.3685,1.3685,1.3685,1.3685,0.0
2022-05-30 23:00:00,1.3631,1.3631,1.3631,1.3631,0.0
2022-06-06 23:00:00,1.3685,1.3685,1.3685,1.3685,0.0
2022-06-13 23:00:00,1.3855,1.3855,1.3855,1.3855,0.0
2022-06-20 23:00:00,1.3806,1.3806,1.3806,1.3806,0.0
2022-06-27 23:00:00,1.3796,1.3796,1.3796,1.3796,0.0
2022-07-04 23:00:00,1.3889,1.3889,1.3889,1.3889,0.0
2022-07-11 23:00:00,1.3985,1.3985,1.3985,1.3985,0.0
2022-07-18 23:00:00,1.3925,1.3925,1.3925,1.3925,0.0
2022-07-25 23:00:00,1.3815,1.3815,1.3815,1.3815,0.0
2022-08-01 23:00:00,1.3734,1.3734,1.3734,1.3734,0.0
2022-08-08 23:00:00,1.3749,1.3749,1.3749,1.3749,0.0
2022-08-15 23:00:00,1.3728,1.3728,1.3728,1.3728,0.0
2022-08-22 23:00:00,1.3921,1.3921,1.3921,1.3921,0.0
2022-08-29 23:00:00,1.3938,1.3938,1.3938,1.3938,0.0
2022-09-05 23:00:00,1.4012,1.4012,1.4012,1.4012,0.0
2022-09-12 23:00:00,1.3934,1.3934,1.3934,1.3934,0.0
2022-09-19 23:00:00,1.4052,1.4052,1.4052,1.4052,0.0
2022-09-26 23:00:00,1.4292,1.4292,1.4292,1.4292,0.0
2022-10-03 23:00:00,1.431,1.431,1.431,1.431,0.0
2022-10-10 23:00:00,1.4327,1.4327,1.4327,1.4327,0.0
2022-10-17 23:00:00,1.4232,1.4232,1.4232,1.4232,0.0
2022-10-24 23:00:00,1.421,1.421,1.421,1.421,0.0
2022-10-31 23:00:00,1.4132,1.4132,1.4132,1.4132,0.0
2022-11-07 23:00:00,1.4016,1.4016,1.4016,1.4016,0.0
2022-11-14 23:00:00,1.3743,1.3743,1.3743,1.3743,0.0
2022-11-21 23:00:00,1.3806,1.3806,1.3806,1.3806,0.0
2022-11-28 23:00:00,1.3699,1.3699,1.3699,1.3699,0.0
2022-12-05 23:00:00,1.3478,1.3478,1.3478,1.3478,0.0
