DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-05-16 23:00:00,1.387,1.387,1.387,1.387,0.0
2022-05-23 23:00:00,1.3673,1.3673,1.3673,1.3673,0.0
2022-05-30 23:00:00,1.3619,1.3619,1.3619,1.3619,0.0
2022-06-06 23:00:00,1.3672,1.3672,1.3672,1.3672,0.0
2022-06-13 23:00:00,1.3841,1.3841,1.3841,1.3841,0.0
2022-06-20 23:00:00,1.3791,1.3791,1.3791,1.3791,0.0
2022-06-27 23:00:00,1.3784,1.3784,1.3784,1.3784,0.0
2022-07-04 23:00:00,1.3876,1.3876,1.3876,1.3876,0.0
2022-07-11 23:00:00,1.3974,1.3974,1.3974,1.3974,0.0
2022-07-18 23:00:00,1.3916,1.3916,1.3916,1.3916,0.0
2022-07-25 23:00:00,1.3806,1.3806,1.3806,1.3806,0.0
2022-08-01 23:00:00,1.3725,1.3725,1.3725,1.3725,0.0
2022-08-08 23:00:00,1.3739,1.3739,1.3739,1.3739,0.0
2022-08-15 23:00:00,1.3718,1.3718,1.3718,1.3718,0.0
2022-08-22 23:00:00,1.391,1.391,1.391,1.391,0.0
2022-08-29 23:00:00,1.3928,1.3928,1.3928,1.3928,0.0
2022-09-05 23:00:00,1.4001,1.4001,1.4001,1.4001,0.0
2022-09-12 23:00:00,1.3923,1.3923,1.3923,1.3923,0.0
2022-09-19 23:00:00,1.4041,1.4041,1.4041,1.4041,0.0
2022-09-26 23:00:00,1.4273,1.4273,1.4273,1.4273,0.0
2022-10-03 23:00:00,1.4294,1.4294,1.4294,1.4294,0.0
2022-10-10 23:00:00,1.4312,1.4312,1.4312,1.4312,0.0
2022-10-17 23:00:00,1.422,1.422,1.422,1.422,0.0
2022-10-24 23:00:00,1.4199,1.4199,1.4199,1.4199,0.0
2022-10-31 23:00:00,1.412,1.412,1.412,1.412,0.0
2022-11-07 23:00:00,1.4004,1.4004,1.4004,1.4004,0.0
2022-11-14 23:00:00,1.3733,1.3733,1.3733,1.3733,0.0
2022-11-21 23:00:00,1.3794,1.3794,1.3794,1.3794,0.0
2022-11-28 23:00:00,1.3687,1.3687,1.3687,1.3687,0.0
2022-12-05 23:00:00,1.3468,1.3468,1.3468,1.3468,0.0
2022-12-12 23:00:00,1.3489,1.3489,1.3489,1.3489,0.0
2022-12-19 23:00:00,1.3535,1.3535,1.3535,1.3535,0.0
2022-12-26 23:00:00,1.3443,1.3443,1.3443,1.3443,0.0
2023-01-03 23:00:00,1.3443,1.3443,1.3443,1.3443,0.0
2023-01-09 23:00:00,1.3308,1.3308,1.3308,1.3308,0.0
2023-01-16 23:00:00,1.3142,1.3188,1.3139,1.3176,27.0
2023-01-17 23:00:00,1.3196,1.3196,1.3196,1.3196,1.0
2023-01-18 23:00:00,1.3184,1.3204,1.3184,1.3204,6.0
2023-01-19 23:00:00,1.3129,1.3232,1.3129,1.3232,20.0
2023-01-20 23:00:00,1.3208,1.3208,1.32,1.32,2.0
2023-01-23 23:00:00,1.316,1.316,1.316,1.316,0.0
2023-01-24 23:00:00,1.3178,1.3178,1.3178,1.3178,1.0
2023-01-25 23:00:00,1.3159,1.3159,1.3128,1.3141,11.0
2023-01-27 23:00:00,1.31,1.3113,1.31,1.3113,6.0
2023-01-30 23:00:00,1.3103,1.3103,1.3103,1.3103,0.0
2023-02-04 23:00:00,1.3141,1.3171,1.3141,1.3167,15.0
2023-02-06 23:00:00,1.3234,1.3234,1.3234,1.3234,0.0
2023-02-08 23:00:00,1.325,1.3251,1.321,1.3226,10.0
2023-02-09 23:00:00,1.3238,1.3238,1.3199,1.3199,21.0
2023-02-11 23:00:00,1.3267,1.3267,1.3267,1.3267,2.0
2023-02-13 23:00:00,1.3301,1.3305,1.33,1.3305,15.0
2023-02-14 23:00:00,1.3275,1.3275,1.3249,1.3249,166.0
2023-02-15 23:00:00,1.3251,1.3318,1.3235,1.3318,164.0
2023-02-16 23:00:00,1.3342,1.3342,1.3342,1.3342,1.0
2023-02-17 23:00:00,1.3328,1.3328,1.3328,1.3328,4.0
2023-02-18 23:00:00,1.335,1.335,1.335,1.335,1.0
2023-02-20 23:00:00,1.3341,1.3341,1.3338,1.3338,2.0
2023-02-21 23:00:00,1.3349,1.3354,1.3349,1.3354,10.0
2023-02-23 23:00:00,1.339,1.3395,1.3377,1.3395,26.0
2023-02-24 23:00:00,1.3411,1.3431,1.3401,1.3431,22.0
2023-02-25 23:00:00,1.348,1.348,1.348,1.348,2.0
2023-02-27 23:00:00,1.3481,1.3481,1.3475,1.3475,5.0
2023-02-28 23:00:00,1.3459,1.3473,1.3459,1.3473,10.0
2023-03-01 23:00:00,1.341,1.341,1.339,1.339,12.0
2023-03-03 23:00:00,1.3473,1.3473,1.3445,1.3445,65.0
2023-03-06 23:00:00,1.3435,1.3446,1.3427,1.3446,169.0
2023-03-07 23:00:00,1.3436,1.3442,1.3433,1.3442,24.0
2023-03-08 23:00:00,1.3455,1.352,1.3455,1.352,67.0
2023-03-09 23:00:00,1.3518,1.3518,1.3489,1.3495,114.0
2023-03-10 23:00:00,1.3489,1.3552,1.3487,1.3528,145.0
2023-03-11 23:00:00,1.3532,1.3532,1.3455,1.3481,22.0
2023-03-13 23:00:00,1.3487,1.3487,1.3412,1.3467,169.0
2023-03-14 23:00:00,1.3472,1.3474,1.345,1.3463,112.0
2023-03-15 23:00:00,1.3431,1.3472,1.3413,1.3472,59.0
2023-03-16 23:00:00,1.3486,1.3511,1.3448,1.3448,255.0
2023-03-17 23:00:00,1.3468,1.3468,1.341,1.341,45.0
2023-03-20 23:00:00,1.3386,1.3417,1.3385,1.3403,72.0
2023-03-21 23:00:00,1.3382,1.3383,1.3335,1.3335,24.0
2023-03-22 23:00:00,1.335,1.335,1.335,1.335,1.0
2023-03-23 23:00:00,1.333,1.3333,1.3238,1.3255,92.0
2023-03-24 23:00:00,1.3255,1.328,1.3254,1.3272,26.0
2023-03-25 23:00:00,1.3332,1.3332,1.3315,1.3316,4.0
2023-03-27 23:00:00,1.3332,1.3332,1.3312,1.3312,11.0
2023-03-28 23:00:00,1.332,1.3324,1.3272,1.3275,12.0
2023-03-29 23:00:00,1.3271,1.3292,1.327,1.3289,20.0
2023-03-30 23:00:00,1.33,1.33,1.327,1.3277,21.0
2023-03-31 23:00:00,1.328,1.3282,1.325,1.3282,21.0
2023-04-01 23:00:00,1.3287,1.3287,1.3285,1.3287,7.0
2023-04-03 23:00:00,1.3331,1.3332,1.3302,1.3302,59.0
2023-04-04 23:00:00,1.3295,1.3295,1.3271,1.3274,5.0
2023-04-05 23:00:00,1.3271,1.3271,1.3241,1.3243,25.0
2023-04-06 08:00:00,1.3289,1.3289,1.3289,1.3289,1.0
2023-04-06 09:00:00,1.3307,1.3307,1.3305,1.3305,17.0
2023-04-06 10:00:00,1.3305,1.3305,1.3305,1.3305,0.0
2023-04-06 11:00:00,1.3305,1.3305,1.3305,1.3305,0.0
2023-04-06 12:00:00,1.3288,1.3288,1.3288,1.3288,1.0
2023-04-06 13:00:00,1.3288,1.3288,1.3288,1.3288,0.0
2023-04-06 14:00:00,1.3288,1.3288,1.3288,1.3288,0.0
2023-04-06 15:00:00,1.3288,1.3288,1.3288,1.3288,0.0
2023-04-06 16:00:00,1.3288,1.3288,1.3288,1.3288,0.0
2023-04-06 17:00:00,1.3288,1.3288,1.3288,1.3288,0.0
2023-04-06 23:00:00,1.329,1.3303,1.3284,1.3286,75.0
2023-04-07 01:00:00,1.3297,1.3301,1.3297,1.33,19.0
2023-04-07 02:00:00,1.33,1.33,1.33,1.33,6.0
2023-04-07 03:00:00,1.33,1.33,1.33,1.33,0.0
2023-04-07 04:00:00,1.33,1.33,1.33,1.33,0.0
2023-04-07 05:00:00,1.33,1.33,1.33,1.33,0.0
2023-04-07 06:00:00,1.33,1.33,1.33,1.33,0.0
2023-04-07 07:00:00,1.33,1.33,1.33,1.33,0.0
2023-04-07 08:00:00,1.3317,1.3317,1.3317,1.3317,1.0
2023-04-07 09:00:00,1.3317,1.3317,1.3317,1.3317,0.0
2023-04-07 10:00:00,1.3317,1.3317,1.3317,1.3317,0.0
2023-04-07 11:00:00,1.3317,1.3317,1.3317,1.3317,0.0
2023-04-07 12:00:00,1.3317,1.3317,1.3317,1.3317,0.0
2023-04-07 13:00:00,1.3317,1.3317,1.3317,1.3317,0.0
2023-04-07 14:00:00,1.3317,1.3317,1.3317,1.3317,0.0
2023-04-07 15:00:00,1.3317,1.3317,1.3317,1.3317,0.0
2023-04-07 16:00:00,1.3317,1.3317,1.3317,1.3317,0.0
2023-04-07 17:00:00,1.3317,1.3317,1.3317,1.3317,0.0
2023-04-07 23:00:00,1.3289,1.3307,1.3288,1.33,44.0
2023-04-08 23:00:00,1.3317,1.3317,1.3317,1.3317,1.0
2023-04-10 02:00:00,1.3296,1.3296,1.3284,1.3284,4.0
2023-04-10 03:00:00,1.3284,1.3284,1.3284,1.3284,0.0
2023-04-10 04:00:00,1.3289,1.3289,1.3289,1.3289,1.0
2023-04-10 05:00:00,1.3285,1.3285,1.3283,1.3283,19.0
2023-04-10 06:00:00,1.3286,1.3286,1.3284,1.3284,10.0
2023-04-10 07:00:00,1.3284,1.3284,1.3284,1.3284,0.0
2023-04-10 09:00:00,1.3322,1.3322,1.3322,1.3322,4.0
2023-04-10 10:00:00,1.3332,1.3332,1.3328,1.3331,17.0
