DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-03-10 23:00:00,105.01,105.01,105.01,105.01,0.0
2023-03-13 23:00:00,105.765,105.765,105.765,105.765,0.0
2023-03-14 23:00:00,105.235,105.235,105.235,105.235,0.0
2023-03-15 23:00:00,106.215,106.215,106.215,106.215,0.0
2023-03-16 23:00:00,105.9,105.9,105.9,105.9,0.0
2023-03-17 23:00:00,106.225,106.225,106.225,106.225,0.0
2023-03-20 23:00:00,106.335,106.335,106.335,106.335,0.0
2023-03-21 23:00:00,105.83,105.83,105.83,105.83,0.0
2023-03-22 23:00:00,105.6,105.6,105.6,105.6,0.0
2023-03-23 23:00:00,106.065,106.065,106.065,106.065,0.0
2023-03-24 23:00:00,106.355,106.355,106.355,106.355,0.0
2023-03-27 23:00:00,106.12,106.12,106.12,106.12,0.0
2023-03-28 23:00:00,105.935,105.935,105.935,105.935,0.0
2023-03-29 23:00:00,105.87,105.87,105.87,105.87,0.0
2023-03-30 23:00:00,105.65,105.65,105.65,105.65,0.0
2023-03-31 23:00:00,105.695,105.695,105.695,105.695,0.0
2023-04-03 23:00:00,105.795,105.795,105.795,105.795,0.0
2023-04-04 23:00:00,105.83,105.83,105.83,105.83,0.0
2023-04-05 23:00:00,106.07,106.07,106.07,106.07,0.0
2023-04-06 23:00:00,105.995,105.995,105.995,105.995,0.0
2023-04-11 23:00:00,105.69,105.69,105.69,105.69,0.0
2023-04-12 23:00:00,105.545,105.545,105.545,105.545,0.0
2023-04-13 23:00:00,105.565,105.565,105.565,105.565,0.0
2023-04-14 23:00:00,105.415,105.415,105.415,105.415,0.0
2023-04-17 23:00:00,105.365,105.365,105.365,105.365,0.0
2023-04-18 23:00:00,105.375,105.375,105.375,105.375,0.0
2023-04-19 23:00:00,105.22,105.22,105.22,105.22,0.0
2023-04-20 23:00:00,105.34,105.34,105.34,105.34,0.0
2023-04-21 23:00:00,105.29,105.29,105.29,105.29,0.0
2023-04-24 23:00:00,105.255,105.255,105.255,105.255,0.0
2023-04-25 23:00:00,105.51,105.51,105.51,105.51,0.0
2023-04-26 23:00:00,105.61,105.61,105.61,105.61,0.0
2023-04-27 23:00:00,105.46,105.46,105.46,105.46,0.0
2023-04-28 23:00:00,105.675,105.675,105.675,105.675,0.0
2023-05-02 23:00:00,105.805,105.805,105.805,105.805,0.0
2023-05-03 23:00:00,105.75,105.75,105.75,105.75,0.0
2023-05-04 23:00:00,106.01,106.01,106.01,106.01,0.0
2023-05-05 23:00:00,105.855,105.855,105.855,105.855,0.0
2023-05-08 23:00:00,105.78,105.78,105.78,105.78,0.0
2023-05-09 23:00:00,105.785,105.785,105.785,105.785,0.0
2023-05-10 23:00:00,105.865,105.865,105.865,105.865,0.0
2023-05-11 23:00:00,105.92,105.92,105.92,105.92,0.0
2023-05-12 23:00:00,105.855,105.855,105.855,105.855,0.0
2023-05-15 23:00:00,105.815,105.815,105.815,105.815,0.0
2023-05-16 23:00:00,105.73,105.73,105.73,105.73,0.0
2023-05-17 23:00:00,105.645,105.645,105.645,105.645,0.0
2023-05-18 23:00:00,105.505,105.505,105.505,105.505,0.0
2023-05-19 23:00:00,105.515,105.515,105.515,105.515,0.0
