DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-04-26 23:00:00,23.655,23.71,23.59,23.7,9.0
2022-04-27 23:00:00,23.57,23.665,23.42,23.665,14.0
2022-04-28 23:00:00,23.2525,23.335,23.09,23.19,101.0
2022-04-29 23:00:00,23.155,23.295,22.845,23.295,42.0
2022-05-02 23:00:00,22.6575,22.71,22.22,22.34,52.0
2022-05-03 23:00:00,22.7475,22.915,22.7475,22.8,4.0
2022-05-04 23:00:00,22.495,23.135,22.34,22.405,25.0
2022-05-05 23:00:00,22.54,23.03,22.435,23.025,30.0
2022-05-06 23:00:00,22.4625,22.665,22.4625,22.495,21.0
2022-05-09 23:00:00,21.9175,22.115,21.8,22.06,26.0
2022-05-10 23:00:00,21.5175,21.9,21.3,21.9,29.0
2022-05-11 23:00:00,21.6725,21.985,21.63,21.88,19.0
2022-05-12 23:00:00,20.865,21.19,20.725,21.19,45.0
2022-05-13 23:00:00,21.09,21.17,20.72,20.72,33.0
2022-05-16 23:00:00,21.64,21.78,21.395,21.395,29.0
2022-05-17 23:00:00,21.84,21.85,21.615,21.77,30.0
2022-05-18 23:00:00,21.6375,21.6375,21.5,21.6,12.0
2022-05-19 23:00:00,22.0025,22.065,21.955,21.97,20.0
2022-05-20 23:00:00,21.7675,21.935,21.7,21.935,14.0
2022-05-23 23:00:00,21.815,22.02,21.815,21.98,17.0
2022-05-24 23:00:00,22.155,22.28,22.07,22.245,26.0
2022-05-25 23:00:00,21.9625,22.085,21.9625,22.005,5.0
2022-05-26 23:00:00,22.06,22.125,22.015,22.07,13.0
2022-05-27 23:00:00,22.19,22.41,22.145,22.41,25.0
2022-05-31 23:00:00,21.78,22.03,21.6,22.03,21.0
2022-06-01 23:00:00,22.0075,22.065,21.835,22.065,31.0
2022-06-02 23:00:00,22.365,22.44,22.245,22.33,40.0
2022-06-03 23:00:00,22.0,22.37,21.96,22.3,39.0
2022-06-06 23:00:00,22.1875,22.435,22.18,22.435,43.0
2022-06-07 23:00:00,22.275,22.375,22.08,22.105,40.0
2022-06-08 23:00:00,22.19,22.31,22.125,22.125,39.0
2022-06-09 23:00:00,21.91,22.0,21.64,22.0,100.0
2022-06-10 23:00:00,22.025,22.09,21.38,21.55,102.0
2022-06-13 23:00:00,21.3475,21.4,21.015,21.38,179.0
2022-06-14 23:00:00,21.0425,21.25,20.935,21.25,82.0
2022-06-15 23:00:00,21.5025,21.9,21.39,21.685,91.0
2022-06-16 23:00:00,21.975,22.055,21.575,21.695,253.0
2022-06-17 23:00:00,21.68,21.915,21.65,21.915,80.0
2022-06-21 23:00:00,21.85,22.02,21.73,21.84,90.0
2022-06-22 23:00:00,21.4975,21.64,21.415,21.44,208.0
