DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-05-06 23:00:00,96.89,96.89,96.875,96.88,60.0
2022-05-09 23:00:00,96.965,96.965,96.93,96.93,20.0
2022-05-10 23:00:00,97.1,97.1,97.04,97.04,10.0
2022-05-11 23:00:00,97.145,97.145,97.145,97.145,0.0
2022-05-12 23:00:00,97.215,97.215,97.215,97.215,0.0
2022-05-13 23:00:00,97.125,97.125,97.095,97.095,10.0
2022-05-16 23:00:00,97.155,97.17,97.155,97.17,4.0
2022-05-17 23:00:00,97.095,97.095,97.095,97.095,0.0
2022-05-18 23:00:00,97.125,97.21,97.125,97.21,51.0
2022-05-19 23:00:00,97.27,97.27,97.235,97.235,24.0
2022-05-20 23:00:00,97.3,97.315,97.3,97.31,32.0
2022-05-23 23:00:00,97.245,97.245,97.23,97.245,22.0
2022-05-24 23:00:00,97.305,97.31,97.305,97.31,28.0
2022-05-25 23:00:00,97.305,97.32,97.295,97.32,125.0
2022-05-26 23:00:00,97.29,97.3,97.275,97.3,52.0
2022-05-27 23:00:00,97.315,97.315,97.315,97.315,0.0
2022-05-31 23:00:00,97.21,97.225,97.21,97.225,24.0
2022-06-01 23:00:00,97.155,97.165,97.13,97.16,32.0
2022-06-02 23:00:00,97.2,97.2,97.2,97.2,66.0
2022-06-03 23:00:00,97.165,97.17,97.15,97.15,326.0
2022-06-06 23:00:00,97.085,97.085,97.045,97.045,60.0
2022-06-07 23:00:00,97.14,97.15,97.125,97.14,107.0
2022-06-08 23:00:00,97.085,97.09,97.085,97.09,1.0
2022-06-09 23:00:00,97.08,97.095,97.08,97.09,12.0
2022-06-10 23:00:00,97.08,97.08,97.005,97.01,7.0
2022-06-13 23:00:00,96.925,96.925,96.75,96.79,81.0
2022-06-14 23:00:00,96.855,96.855,96.675,96.685,114.0
2022-06-15 23:00:00,96.77,96.86,96.715,96.745,168.0
2022-06-16 23:00:00,96.73,97.015,96.73,96.885,160.0
2022-06-17 23:00:00,96.985,97.0,96.905,96.955,825.0
2022-06-21 23:00:00,96.86,96.91,96.85,96.86,189.0
2022-06-22 23:00:00,97.0,97.03,96.98,96.985,302.0
2022-06-23 23:00:00,97.045,97.125,97.02,97.085,458.0
2022-06-24 23:00:00,97.035,97.055,96.96,96.99,388.0
2022-06-27 23:00:00,96.905,96.97,96.9,96.93,430.0
2022-06-28 23:00:00,96.9,96.945,96.88,96.91,551.0
2022-06-29 23:00:00,96.945,97.01,96.935,97.0,588.0
2022-06-30 23:00:00,97.08,97.13,97.065,97.13,527.0
2022-07-01 23:00:00,97.185,97.29,97.16,97.17,894.0
2022-07-05 23:00:00,97.26,97.3,97.22,97.265,675.0
2022-07-06 23:00:00,97.29,97.3,97.155,97.165,523.0
2022-07-07 23:00:00,97.16,97.165,97.05,97.065,297.0
2022-07-08 23:00:00,97.03,97.035,96.97,96.99,292.0
2022-07-11 23:00:00,97.065,97.14,97.06,97.12,586.0
2022-07-12 23:00:00,97.205,97.225,97.15,97.16,247.0
2022-07-13 23:00:00,97.13,97.285,97.115,97.25,987.0
2022-07-14 23:00:00,97.21,97.255,97.185,97.24,529.0
2022-07-15 23:00:00,97.24,97.3,97.24,97.29,205.0
2022-07-18 23:00:00,97.25,97.275,97.205,97.245,150.0
2022-07-19 23:00:00,97.24,97.245,97.19,97.225,371.0
2022-07-20 23:00:00,97.26,97.27,97.185,97.19,645.0
2022-07-21 23:00:00,97.22,97.355,97.21,97.345,2113.0
2022-07-22 23:00:00,97.425,97.465,97.39,97.445,1291.0
2022-07-25 23:00:00,97.355,97.405,97.35,97.4,1260.0
2022-07-26 23:00:00,97.49,97.505,97.405,97.405,1143.0
2022-07-27 23:00:00,97.45,97.485,97.405,97.42,1378.0
2022-07-28 23:00:00,97.545,97.585,97.51,97.55,1066.0
2022-07-29 23:00:00,97.535,97.63,97.535,97.59,1080.0
2022-08-01 23:00:00,97.635,97.7,97.615,97.7,1262.0
2022-08-02 23:00:00,97.695,97.7,97.51,97.525,1709.0
2022-08-03 23:00:00,97.505,97.6,97.445,97.595,1872.0
2022-08-04 23:00:00,97.61,97.655,97.6,97.605,1025.0
2022-08-05 23:00:00,97.505,97.51,97.455,97.5,1456.0
2022-08-08 23:00:00,97.545,97.605,97.54,97.585,973.0
2022-08-09 23:00:00,97.55,97.59,97.545,97.585,564.0
2022-08-10 23:00:00,97.59,97.635,97.545,97.565,1997.0
2022-08-11 23:00:00,97.55,97.56,97.415,97.42,1452.0
2022-08-12 23:00:00,97.475,97.515,97.45,97.515,553.0
2022-08-15 23:00:00,97.59,97.595,97.565,97.575,292.0
2022-08-16 23:00:00,97.565,97.6,97.515,97.6,686.0
2022-08-17 23:00:00,97.535,97.54,97.485,97.49,1363.0
2022-08-18 23:00:00,97.505,97.55,97.48,97.485,1055.0
2022-08-19 23:00:00,97.395,97.41,97.365,97.38,734.0
2022-08-22 23:00:00,97.375,97.385,97.335,97.36,1101.0
2022-08-23 23:00:00,97.31,97.395,97.295,97.305,2412.0
2022-08-24 23:00:00,97.24,97.25,97.205,97.22,3355.0
2022-08-25 23:00:00,97.22,97.325,97.205,97.325,1766.0
2022-08-26 23:00:00,97.28,97.355,97.265,97.295,2554.0
2022-08-29 23:00:00,97.205,97.21,97.17,97.18,1692.0
2022-08-30 23:00:00,97.19,97.235,97.155,97.205,2492.0
2022-08-31 23:00:00,97.175,97.205,97.065,97.16,2385.0
2022-09-01 23:00:00,97.0,97.025,96.955,96.985,2359.0
