DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-05-06 23:00:00,66.85,66.85,66.85,66.85,0.0
2022-05-09 23:00:00,65.44,65.44,65.44,65.44,0.0
2022-05-10 23:00:00,65.77,65.77,65.77,65.77,0.0
2022-05-11 23:00:00,66.74,66.74,66.74,66.74,0.0
2022-05-12 23:00:00,66.46,66.46,66.46,66.46,0.0
2022-05-13 23:00:00,66.74,66.74,66.74,66.74,0.0
2022-05-16 23:00:00,66.09,66.09,66.09,66.09,0.0
2022-05-17 23:00:00,66.97,66.97,66.97,66.97,0.0
2022-05-18 23:00:00,65.37,65.37,65.37,65.37,0.0
2022-05-19 23:00:00,66.2,66.2,66.2,66.2,0.0
2022-05-20 23:00:00,66.66,66.66,66.66,66.66,0.0
2022-05-23 23:00:00,67.03,67.03,67.03,67.03,0.0
2022-05-24 23:00:00,67.0,67.0,67.0,67.0,0.0
2022-05-25 23:00:00,67.03,67.03,67.03,67.03,0.0
2022-05-26 23:00:00,68.56,68.56,68.56,68.56,0.0
2022-05-27 23:00:00,68.29,68.29,68.29,68.29,0.0
2022-05-31 23:00:00,68.72,68.72,68.72,68.72,0.0
2022-06-01 23:00:00,68.98,68.98,68.98,68.98,0.0
2022-06-02 23:00:00,70.26,70.26,70.26,70.26,0.0
2022-06-03 23:00:00,70.03,70.03,70.03,70.03,0.0
2022-06-06 23:00:00,70.42,70.42,70.42,70.42,0.0
2022-06-07 23:00:00,70.44,70.44,70.44,70.44,0.0
2022-06-08 23:00:00,71.24,71.24,71.24,71.24,0.0
2022-06-09 23:00:00,70.31,70.31,70.31,70.31,0.0
2022-06-10 23:00:00,68.87,68.87,68.87,68.87,0.0
2022-06-13 23:00:00,68.5,68.5,68.5,68.5,0.0
2022-06-14 23:00:00,68.29,68.29,68.29,68.29,0.0
2022-06-15 23:00:00,67.87,67.87,67.87,67.87,0.0
2022-06-16 23:00:00,67.37,67.37,67.37,67.37,0.0
2022-06-17 23:00:00,66.12,66.12,66.12,66.12,0.0
2022-06-21 23:00:00,65.94,65.94,65.94,65.94,0.0
2022-06-22 23:00:00,64.0,64.47,63.77,63.77,45.0
2022-06-23 23:00:00,61.4,61.55,61.13,61.13,21.0
2022-06-24 23:00:00,61.56,61.56,61.56,61.56,0.0
2022-06-27 23:00:00,62.17,62.17,62.17,62.17,0.0
2022-06-28 23:00:00,62.68,62.68,62.68,62.68,0.0
2022-06-29 23:00:00,63.02,63.02,63.02,63.02,0.0
2022-06-30 23:00:00,61.11,61.11,61.11,61.11,0.0
2022-07-01 23:00:00,59.65,59.65,59.65,59.65,0.0
2022-07-05 23:00:00,54.76,54.76,54.76,54.76,0.0
2022-07-06 23:00:00,54.1,54.85,53.97,54.57,56.0
2022-07-07 23:00:00,57.11,57.11,57.0,57.0,1.0
2022-07-08 23:00:00,57.17,57.17,57.17,57.17,0.0
2022-07-11 23:00:00,57.56,57.56,57.56,57.56,0.0
2022-07-12 23:00:00,54.97,54.97,54.97,54.97,0.0
2022-07-13 23:00:00,53.23,53.23,53.23,53.23,0.0
2022-07-14 23:00:00,53.45,53.45,53.45,53.45,0.0
2022-07-15 23:00:00,55.68,55.68,55.68,55.68,0.0
2022-07-18 23:00:00,57.78,57.78,57.78,57.78,0.0
2022-07-19 23:00:00,56.66,56.66,56.66,56.66,0.0
2022-07-20 23:00:00,54.87,54.87,54.87,54.87,0.0
2022-07-21 23:00:00,53.75,53.75,53.39,53.39,5.0
2022-07-22 23:00:00,54.95,54.95,54.95,54.95,0.0
2022-07-25 23:00:00,54.73,54.73,54.73,54.73,0.0
2022-07-26 23:00:00,55.03,55.03,55.03,55.03,0.0
2022-07-27 23:00:00,56.23,56.38,55.97,55.97,14.0
2022-07-28 23:00:00,59.17,59.33,59.17,59.33,1.0
2022-07-29 23:00:00,61.02,61.02,60.89,60.89,1.0
2022-08-01 23:00:00,58.73,59.37,58.73,59.37,6.0
2022-08-02 23:00:00,57.86,57.86,57.86,57.86,0.0
2022-08-03 23:00:00,57.33,57.33,57.33,57.33,0.0
2022-08-04 23:00:00,57.81,57.81,57.64,57.64,1.0
2022-08-05 23:00:00,59.67,59.67,59.67,59.67,0.0
2022-08-08 23:00:00,59.86,59.86,59.86,59.86,0.0
2022-08-09 23:00:00,60.49,60.49,60.49,60.49,0.0
2022-08-10 23:00:00,61.29,61.29,61.29,61.29,0.0
2022-08-11 23:00:00,62.04,62.04,62.04,62.04,0.0
2022-08-12 23:00:00,62.09,62.09,62.09,62.09,0.0
2022-08-15 23:00:00,61.31,61.31,61.31,61.31,0.0
2022-08-16 23:00:00,60.05,60.05,60.05,60.05,0.0
2022-08-17 23:00:00,59.52,59.52,59.52,59.52,0.0
2022-08-18 23:00:00,59.18,59.18,58.59,58.59,2.0
2022-08-19 23:00:00,59.64,59.64,59.64,59.64,0.0
2022-08-22 23:00:00,60.66,60.66,60.66,60.66,0.0
2022-08-23 23:00:00,61.11,61.11,61.11,61.11,0.0
2022-08-24 23:00:00,60.45,60.45,60.45,60.45,0.0
2022-08-25 23:00:00,60.36,60.36,60.36,60.36,0.0
2022-08-26 23:00:00,60.37,60.37,60.37,60.37,0.0
2022-08-29 23:00:00,59.07,59.07,59.07,59.07,0.0
2022-08-30 23:00:00,59.3,59.3,59.3,59.3,0.0
2022-08-31 23:00:00,59.87,59.87,59.87,59.87,0.0
2022-09-01 23:00:00,57.0,57.0,57.0,57.0,0.0
2022-09-02 23:00:00,58.58,58.58,58.58,58.58,0.0
2022-09-06 23:00:00,56.51,56.51,56.51,56.51,0.0
2022-09-07 23:00:00,55.62,55.62,55.62,55.62,0.0
