DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-07-25 23:00:00,0.3451,0.3451,0.3451,0.3451,0.0
2022-08-01 23:00:00,0.3412,0.3412,0.3412,0.3412,0.0
2022-08-08 23:00:00,0.342,0.342,0.342,0.342,0.0
2022-08-15 23:00:00,0.3423,0.3423,0.3423,0.3423,0.0
2022-08-22 23:00:00,0.3397,0.3397,0.3397,0.3397,0.0
2022-08-29 23:00:00,0.3357,0.3357,0.3357,0.3357,0.0
2022-09-05 23:00:00,0.3323,0.3323,0.3323,0.3323,0.0
2022-09-12 23:00:00,0.3317,0.3317,0.3317,0.3317,0.0
2022-09-19 23:00:00,0.3242,0.3242,0.3242,0.3242,0.0
2022-09-26 23:00:00,0.3201,0.3201,0.3201,0.3201,0.0
2022-10-03 23:00:00,0.3182,0.3182,0.3182,0.3182,0.0
2022-10-10 23:00:00,0.3217,0.3217,0.3217,0.3217,0.0
2022-10-17 23:00:00,0.3174,0.3174,0.3174,0.3174,0.0
2022-10-24 23:00:00,0.3146,0.3146,0.3146,0.3146,0.0
2022-10-31 23:00:00,0.315,0.315,0.315,0.315,0.0
2022-11-07 23:00:00,0.3192,0.3192,0.3192,0.3192,0.0
2022-11-14 23:00:00,0.3357,0.3357,0.3357,0.3357,0.0
2022-11-21 23:00:00,0.3289,0.3289,0.3289,0.3289,0.0
2022-11-28 23:00:00,0.3336,0.3336,0.3336,0.3336,0.0
2022-12-05 23:00:00,0.3401,0.3401,0.3401,0.3401,0.0
2022-12-12 23:00:00,0.3368,0.3368,0.3368,0.3368,0.0
2022-12-19 23:00:00,0.3355,0.3355,0.3355,0.3355,0.0
2022-12-26 23:00:00,0.335,0.335,0.335,0.335,0.0
2023-01-03 23:00:00,0.3326,0.3326,0.3326,0.3326,0.0
2023-01-09 23:00:00,0.3367,0.3367,0.3367,0.3367,0.0
2023-01-16 23:00:00,0.3386,0.3386,0.3386,0.3386,0.0
2023-01-23 23:00:00,0.3363,0.3363,0.3363,0.3363,0.0
2023-01-30 23:00:00,0.3401,0.3401,0.3401,0.3401,0.0
2023-02-06 23:00:00,0.3406,0.3406,0.3406,0.3406,0.0
2023-02-13 23:00:00,0.3378,0.3378,0.3378,0.3378,0.0
2023-02-20 23:00:00,0.336,0.336,0.336,0.336,0.0
2023-02-27 23:00:00,0.3328,0.3328,0.3328,0.3328,0.0
2023-03-06 23:00:00,0.3324,0.3324,0.3324,0.3324,0.0
