DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-12-19 23:00:00,911.9,911.9,911.9,911.9,0.0
2022-12-20 23:00:00,925.0,925.0,925.0,925.0,0.0
2022-12-21 23:00:00,941.7,941.7,941.7,941.7,0.0
2022-12-22 23:00:00,920.5,920.5,920.5,920.5,0.0
2022-12-23 23:00:00,949.4,949.4,949.4,949.4,0.0
2022-12-27 23:00:00,959.9,959.9,959.9,959.9,0.0
2022-12-28 23:00:00,938.4,938.4,938.4,938.4,0.0
2022-12-29 23:00:00,947.2,947.2,947.2,947.2,0.0
2022-12-30 23:00:00,953.6,953.6,953.6,953.6,0.0
2023-01-03 23:00:00,919.7,919.7,919.7,919.7,0.0
2023-01-04 23:00:00,919.7,919.7,919.7,919.7,0.0
2023-01-05 23:00:00,937.2,937.2,937.2,937.2,0.0
2023-01-06 23:00:00,953.3,953.3,953.3,953.3,0.0
2023-01-09 23:00:00,950.3,950.3,950.3,950.3,0.0
2023-01-10 23:00:00,956.5,956.5,956.5,956.5,0.0
2023-01-11 23:00:00,959.8,959.8,959.8,959.8,0.0
2023-01-12 23:00:00,978.3,978.3,978.3,978.3,0.0
2023-01-13 23:00:00,979.3,979.3,979.3,979.3,0.0
2023-01-17 23:00:00,980.6,980.6,980.6,980.6,0.0
2023-01-18 23:00:00,962.5,962.5,962.5,962.5,0.0
2023-01-19 23:00:00,974.3,974.3,974.3,974.3,0.0
2023-01-20 23:00:00,986.5,986.5,986.5,986.5,0.0
2023-01-23 23:00:00,985.0,985.0,985.0,985.0,0.0
2023-01-24 23:00:00,983.0,983.0,983.0,983.0,0.0
2023-01-25 23:00:00,980.6,980.6,980.6,980.6,0.0
2023-01-26 23:00:00,1012.5,1012.5,1012.5,1012.5,0.0
2023-01-27 23:00:00,992.2,992.2,992.2,992.2,0.0
2023-01-30 23:00:00,968.5,968.5,968.5,968.5,0.0
2023-01-31 23:00:00,976.4,976.4,976.4,976.4,0.0
2023-02-01 23:00:00,957.3,957.3,957.3,957.3,0.0
2023-02-02 23:00:00,936.1,936.1,936.1,936.1,0.0
2023-02-03 23:00:00,933.8,933.8,933.8,933.8,0.0
2023-02-10 23:00:00,974.3,974.3,974.3,974.3,0.0
2023-02-13 23:00:00,973.7,973.7,973.7,973.7,0.0
2023-02-14 23:00:00,973.9,973.9,973.9,973.9,0.0
2023-02-15 23:00:00,955.5,955.5,955.5,955.5,0.0
2023-02-16 23:00:00,946.2,946.2,946.2,946.2,0.0
2023-02-17 23:00:00,911.7,911.7,911.7,911.7,0.0
2023-02-21 23:00:00,907.9,907.9,907.9,907.9,0.0
2023-02-22 23:00:00,901.9,901.9,901.9,901.9,0.0
2023-02-23 23:00:00,913.2,913.2,913.2,913.2,0.0
2023-02-24 23:00:00,913.1,913.1,913.1,913.1,0.0
2023-02-27 23:00:00,916.2,916.2,916.2,916.2,0.0
2023-02-28 23:00:00,903.2,903.2,903.2,903.2,0.0
2023-03-01 23:00:00,920.2,920.2,920.2,920.2,0.0
2023-03-02 23:00:00,927.5,927.5,927.5,927.5,0.0
2023-03-03 23:00:00,940.2,940.2,940.2,940.2,0.0
2023-03-06 23:00:00,940.0,940.0,940.0,940.0,0.0
2023-03-07 23:00:00,923.6,923.6,923.6,923.6,0.0
2023-03-08 23:00:00,913.9,913.9,913.9,913.9,0.0
2023-03-09 23:00:00,900.7,900.7,900.7,900.7,0.0
2023-03-10 23:00:00,888.1,888.1,888.1,888.1,0.0
2023-03-13 23:00:00,870.3,870.3,870.3,870.3,0.0
2023-03-14 23:00:00,879.3,879.3,879.3,879.3,0.0
2023-03-15 23:00:00,830.1,830.1,830.1,830.1,0.0
2023-03-16 23:00:00,839.4,839.4,839.4,839.4,0.0
2023-03-17 23:00:00,825.8,825.8,825.8,825.8,0.0
2023-03-20 23:00:00,843.1,843.1,843.1,843.1,0.0
2023-03-21 23:00:00,871.0,871.0,871.0,871.0,0.0
2023-03-22 23:00:00,853.6,853.6,853.6,853.6,0.0
2023-03-23 23:00:00,842.1,842.1,842.1,842.1,0.0
2023-03-24 23:00:00,843.5,843.5,843.5,843.5,0.0
2023-03-27 23:00:00,861.5,861.5,861.5,861.5,0.0
2023-03-28 23:00:00,875.0,875.0,875.0,875.0,0.0
