DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-06 23:00:00,966.1,966.1,966.1,966.1,0.0
2022-05-09 23:00:00,942.8,942.8,942.8,942.8,0.0
2022-05-10 23:00:00,937.1,937.1,937.1,937.1,0.0
2022-05-11 23:00:00,927.7,927.7,927.7,927.7,0.0
2022-05-12 23:00:00,928.7,928.7,928.7,928.7,0.0
2022-05-13 23:00:00,940.3,940.3,940.3,940.3,0.0
2022-05-16 23:00:00,938.6,938.6,938.6,938.6,0.0
2022-05-17 23:00:00,960.0,960.0,960.0,960.0,0.0
2022-05-18 23:00:00,923.9,923.9,923.9,923.9,0.0
2022-05-19 23:00:00,915.4,915.4,915.4,915.4,0.0
2022-05-20 23:00:00,906.0,906.0,906.0,906.0,0.0
2022-05-23 23:00:00,920.7,920.7,920.7,920.7,0.0
2022-05-24 23:00:00,918.9,918.9,918.9,918.9,0.0
2022-05-25 23:00:00,925.4,925.4,925.4,925.4,0.0
2022-05-26 23:00:00,943.6,943.6,943.6,943.6,0.0
2022-05-27 23:00:00,962.7,962.7,962.7,962.7,0.0
2022-05-31 23:00:00,954.5,954.5,954.5,954.5,0.0
2022-06-01 23:00:00,949.4,949.4,949.4,949.4,0.0
2022-06-02 23:00:00,966.8,966.8,966.8,966.8,0.0
2022-06-03 23:00:00,963.6,963.6,963.6,963.6,0.0
2022-06-06 23:00:00,967.3,967.3,967.3,967.3,0.0
2022-06-07 23:00:00,980.4,980.4,980.4,980.4,0.0
2022-06-08 23:00:00,962.0,962.0,962.0,962.0,0.0
2022-06-09 23:00:00,943.5,943.5,943.5,943.5,0.0
2022-06-10 23:00:00,915.7,915.7,915.7,915.7,0.0
2022-06-13 23:00:00,888.0,888.0,888.0,888.0,0.0
2022-06-14 23:00:00,885.5,885.5,885.5,885.5,0.0
2022-06-15 23:00:00,894.4,894.4,894.4,894.4,0.0
2022-06-16 23:00:00,863.5,863.5,863.5,863.5,0.0
2022-06-17 23:00:00,862.2,862.2,862.2,862.2,0.0
2022-06-21 23:00:00,877.3,877.3,877.3,877.3,0.0
2022-06-22 23:00:00,873.4,873.4,873.4,873.4,0.0
2022-06-23 23:00:00,868.2,868.2,868.2,868.2,0.0
2022-06-24 23:00:00,898.0,898.0,898.0,898.0,0.0
2022-06-27 23:00:00,895.8,895.8,895.8,895.8,0.0
2022-06-28 23:00:00,885.7,885.7,885.7,885.7,0.0
2022-06-29 23:00:00,880.6,880.6,880.6,880.6,0.0
2022-06-30 23:00:00,881.7,881.7,881.7,881.7,0.0
2022-07-01 23:00:00,890.2,890.2,890.2,890.2,0.0
2022-07-05 23:00:00,876.6,876.6,876.6,876.6,0.0
2022-07-06 23:00:00,882.5,882.5,882.5,882.5,0.0
2022-07-07 23:00:00,892.9,892.9,892.9,892.9,0.0
2022-07-08 23:00:00,888.8,888.8,888.8,888.8,0.0
2022-07-11 23:00:00,882.3,882.3,882.3,882.3,0.0
2022-07-12 23:00:00,879.8,879.8,879.8,879.8,0.0
2022-07-13 23:00:00,869.5,869.5,869.5,869.5,0.0
2022-07-14 23:00:00,864.1,864.1,864.1,864.1,0.0
2022-07-15 23:00:00,877.5,877.5,877.5,877.5,0.0
2022-07-18 23:00:00,872.7,872.7,872.7,872.7,0.0
2022-07-19 23:00:00,904.0,904.0,904.0,904.0,0.0
2022-07-20 23:00:00,910.6,910.6,910.6,910.6,0.0
2022-07-21 23:00:00,916.5,916.5,916.5,916.5,0.0
2022-07-22 23:00:00,913.7,913.7,913.7,913.7,0.0
2022-07-25 23:00:00,918.3,918.3,918.3,918.3,0.0
2022-07-26 23:00:00,913.5,913.5,913.5,913.5,0.0
2022-07-27 23:00:00,927.6,927.6,927.6,927.6,0.0
2022-07-28 23:00:00,946.8,946.8,946.8,946.8,0.0
2022-07-29 23:00:00,965.9,965.9,965.9,965.9,0.0
2022-08-01 23:00:00,967.4,967.4,967.4,967.4,0.0
2022-08-02 23:00:00,956.7,956.7,956.7,956.7,0.0
2022-08-03 23:00:00,966.4,966.4,966.4,966.4,0.0
2022-08-04 23:00:00,968.9,968.9,968.9,968.9,0.0
2022-08-05 23:00:00,971.1,971.1,971.1,971.1,0.0
2022-08-08 23:00:00,970.5,970.5,970.5,970.5,0.0
2022-08-09 23:00:00,966.4,966.4,966.4,966.4,0.0
2022-08-10 23:00:00,987.8,987.8,987.8,987.8,0.0
2022-08-11 23:00:00,992.2,992.2,992.2,992.2,0.0
2022-08-12 23:00:00,1007.1,1007.1,1007.1,1007.1,0.0
2022-08-15 23:00:00,1009.5,1009.5,1009.5,1009.5,0.0
2022-08-16 23:00:00,1014.3,1014.3,1014.3,1014.3,0.0
2022-08-17 23:00:00,1006.4,1006.4,1006.4,1006.4,0.0
2022-08-18 23:00:00,1009.0,1009.0,1009.0,1009.0,0.0
2022-08-19 23:00:00,997.0,997.0,997.0,997.0,0.0
2022-08-22 23:00:00,976.5,976.5,976.5,976.5,0.0
2022-08-23 23:00:00,979.0,979.0,979.0,979.0,0.0
2022-08-24 23:00:00,982.2,982.2,982.2,982.2,0.0
2022-08-25 23:00:00,996.7,996.7,996.7,996.7,0.0
2022-08-26 23:00:00,962.0,962.0,962.0,962.0,0.0
2022-08-29 23:00:00,958.1,958.1,958.1,958.1,0.0
2022-08-30 23:00:00,944.2,944.2,944.2,944.2,0.0
2022-08-31 23:00:00,935.3,935.3,935.3,935.3,0.0
2022-09-01 23:00:00,936.7,936.7,936.7,936.7,0.0
2022-09-02 23:00:00,927.0,927.0,927.0,927.0,0.0
2022-09-06 23:00:00,929.1,929.1,929.1,929.1,0.0
2022-09-07 23:00:00,943.8,943.8,943.8,943.8,0.0
2022-09-08 23:00:00,945.0,948.5,937.2,948.1,37.0
2022-09-09 23:00:00,962.5,962.6,955.2,955.4,59.0
2022-09-12 23:00:00,966.9,971.1,964.0,966.0,89.0
2022-09-13 23:00:00,930.2,951.4,927.2,947.4,149.0
2022-09-14 23:00:00,928.8,930.6,918.8,928.9,199.0
2022-09-15 23:00:00,918.7,933.7,915.9,926.4,163.0
2022-09-16 23:00:00,899.6,902.2,892.5,898.3,243.0
2022-09-19 23:00:00,910.9,912.1,898.1,898.1,467.0
2022-09-20 23:00:00,900.2,903.3,894.1,903.3,340.0
2022-09-21 23:00:00,889.8,914.4,889.7,909.3,1064.0
2022-09-22 23:00:00,873.7,885.5,873.1,885.3,365.0
2022-09-23 23:00:00,855.7,865.4,848.0,865.4,577.0
2022-09-26 23:00:00,848.3,862.3,844.9,854.5,453.0
2022-09-27 23:00:00,845.1,859.0,839.2,854.3,710.0
2022-09-28 23:00:00,863.8,868.4,847.0,847.6,947.0
2022-09-29 23:00:00,848.2,857.1,841.6,857.1,581.0
2022-09-30 23:00:00,838.7,853.8,836.8,847.3,443.0
2022-10-03 23:00:00,863.0,869.0,845.7,847.3,517.0
2022-10-04 23:00:00,892.2,893.5,877.7,878.2,583.0
2022-10-05 23:00:00,887.2,894.2,879.1,882.5,392.0
2022-10-06 23:00:00,877.5,889.3,876.0,883.0,677.0
2022-10-07 23:00:00,860.7,870.6,856.1,868.3,324.0
2022-10-10 23:00:00,863.6,871.9,856.5,869.5,469.0
2022-10-11 23:00:00,863.3,874.5,858.0,861.5,484.0
2022-10-12 23:00:00,856.2,866.6,856.2,860.4,299.0
2022-10-13 23:00:00,874.8,877.8,836.1,839.6,696.0
2022-10-14 23:00:00,855.7,881.4,854.1,879.5,1327.0
2022-10-17 23:00:00,875.1,879.0,870.7,871.9,499.0
2022-10-18 23:00:00,896.1,897.4,884.0,893.5,472.0
2022-10-19 23:00:00,889.2,896.5,883.0,890.0,241.0
2022-10-20 23:00:00,871.4,891.2,870.1,886.3,413.0
2022-10-21 23:00:00,895.3,895.8,870.8,872.0,557.0
2022-10-24 23:00:00,908.0,910.0,900.8,901.5,296.0
2022-10-25 23:00:00,919.5,919.9,906.2,906.3,474.0
2022-10-26 23:00:00,922.7,936.1,921.3,927.7,580.0
