DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-06 23:00:00,891.8,896.4,877.9,896.4,209.0
2022-05-09 23:00:00,863.4,883.1,862.2,874.9,480.0
2022-05-10 23:00:00,858.4,880.0,848.4,877.7,896.0
2022-05-11 23:00:00,858.0,881.6,857.9,862.8,751.0
2022-05-12 23:00:00,856.7,864.9,841.7,852.1,490.0
2022-05-13 23:00:00,869.9,878.5,865.0,866.8,476.0
2022-05-16 23:00:00,868.1,875.2,858.7,867.6,241.0
2022-05-17 23:00:00,892.9,893.8,879.1,888.6,715.0
2022-05-18 23:00:00,864.6,886.2,861.6,885.0,463.0
2022-05-19 23:00:00,870.9,880.5,860.2,860.5,347.0
2022-05-20 23:00:00,868.9,881.3,851.7,880.5,306.0
2022-05-23 23:00:00,885.1,886.7,875.0,880.9,229.0
2022-05-24 23:00:00,879.6,881.8,866.5,875.0,206.0
2022-05-25 23:00:00,884.2,887.3,873.9,875.2,281.0
2022-05-26 23:00:00,900.1,902.9,890.5,890.5,160.0
2022-05-27 23:00:00,921.0,921.0,906.2,909.7,347.0
2022-05-31 23:00:00,907.0,915.5,904.7,913.2,379.0
2022-06-01 23:00:00,898.2,909.3,889.4,908.9,171.0
2022-06-02 23:00:00,922.7,922.7,905.7,910.0,219.0
2022-06-03 23:00:00,913.6,920.2,910.7,916.1,393.0
2022-06-06 23:00:00,922.5,925.0,919.2,919.9,272.0
2022-06-07 23:00:00,929.2,929.9,912.8,913.9,248.0
2022-06-08 23:00:00,909.5,926.5,908.1,919.6,273.0
2022-06-09 23:00:00,887.6,904.8,887.5,900.3,321.0
2022-06-10 23:00:00,860.8,870.3,859.8,870.1,176.0
2022-06-13 23:00:00,827.1,840.4,823.3,838.0,188.0
2022-06-14 23:00:00,820.7,831.2,815.4,826.0,217.0
2022-06-15 23:00:00,820.0,830.0,808.2,829.4,88.0
2022-06-16 23:00:00,789.8,793.8,789.8,793.8,2.0
2022-06-17 23:00:00,787.95,787.95,787.95,787.95,0.0
