DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-12-19 23:00:00,187.65,187.65,187.65,187.65,0.0
2022-12-20 23:00:00,187.1,187.1,187.1,187.1,0.0
2022-12-21 23:00:00,188.7,188.7,188.7,188.7,0.0
2022-12-22 23:00:00,188.0,188.0,188.0,188.0,0.0
2022-12-23 23:00:00,189.7,189.7,189.7,189.7,0.0
2022-12-27 23:00:00,189.3,189.3,189.3,189.3,0.0
2022-12-28 23:00:00,186.3,186.3,186.3,186.3,0.0
2022-12-29 23:00:00,190.25,190.25,190.25,190.25,0.0
2022-12-30 23:00:00,188.3,188.3,188.3,188.3,0.0
2023-01-03 23:00:00,188.9,188.9,188.9,188.9,0.0
2023-01-04 23:00:00,193.15,193.15,193.15,193.15,0.0
2023-01-05 23:00:00,187.75,187.75,187.75,187.75,0.0
2023-01-06 23:00:00,193.0,193.0,193.0,193.0,0.0
2023-01-09 23:00:00,192.9,192.9,192.9,192.9,0.0
2023-01-10 23:00:00,193.45,193.45,193.45,193.45,0.0
2023-01-11 23:00:00,200.45,200.45,200.45,200.45,0.0
2023-01-12 23:00:00,202.6,202.6,202.6,202.6,0.0
2023-01-13 23:00:00,201.4,201.4,201.4,201.4,0.0
2023-01-17 23:00:00,201.3,201.3,201.3,201.3,0.0
2023-01-18 23:00:00,198.3,198.3,198.3,198.3,0.0
2023-01-19 23:00:00,197.35,197.35,197.35,197.35,0.0
2023-01-20 23:00:00,199.7,199.7,199.7,199.7,0.0
2023-01-23 23:00:00,200.15,200.15,200.15,200.15,0.0
2023-01-24 23:00:00,201.05,201.05,201.05,201.05,0.0
2023-01-25 23:00:00,201.2,201.2,201.2,201.2,0.0
2023-01-26 23:00:00,203.25,203.25,203.25,203.25,0.0
2023-01-27 23:00:00,205.15,205.15,205.15,205.15,0.0
2023-01-30 23:00:00,202.65,202.65,202.65,202.65,0.0
2023-01-31 23:00:00,206.35,206.35,206.35,206.35,0.0
2023-02-01 23:00:00,207.9,207.9,207.9,207.9,0.0
2023-02-02 23:00:00,212.5,212.5,212.5,212.5,0.0
2023-02-03 23:00:00,208.25,208.25,208.25,208.25,0.0
2023-02-10 23:00:00,203.0,203.0,203.0,203.0,0.0
2023-02-13 23:00:00,205.35,205.35,205.35,205.35,0.0
2023-02-14 23:00:00,203.3,203.3,203.3,203.3,0.0
2023-02-15 23:00:00,203.85,203.85,203.85,203.85,0.0
2023-02-16 23:00:00,201.8,201.8,201.8,201.8,0.0
2023-02-17 23:00:00,201.1,201.1,201.1,201.1,0.0
2023-02-21 23:00:00,197.1,197.1,197.1,197.1,0.0
2023-02-22 23:00:00,194.8,194.8,194.8,194.8,0.0
2023-02-23 23:00:00,196.95,196.95,196.95,196.95,0.0
2023-02-24 23:00:00,193.4,193.4,193.4,193.4,0.0
2023-02-27 23:00:00,193.65,193.65,193.65,193.65,0.0
2023-02-28 23:00:00,193.6,193.6,193.6,193.6,0.0
2023-03-01 23:00:00,190.65,190.65,190.65,190.65,0.0
2023-03-02 23:00:00,192.85,192.85,192.85,192.85,0.0
2023-03-03 23:00:00,196.2,196.2,196.2,196.2,0.0
2023-03-06 23:00:00,195.4,195.4,195.4,195.4,0.0
2023-03-07 23:00:00,190.4,190.4,190.4,190.4,0.0
2023-03-08 23:00:00,193.0,193.0,193.0,193.0,0.0
2023-03-09 23:00:00,188.55,188.55,188.55,188.55,0.0
2023-03-10 23:00:00,182.45,182.45,182.45,182.45,0.0
2023-03-13 23:00:00,185.15,185.15,185.15,185.15,0.0
2023-03-14 23:00:00,186.9,186.9,186.9,186.9,0.0
2023-03-15 23:00:00,186.6,186.6,186.6,186.6,0.0
2023-03-16 23:00:00,186.7,186.7,186.7,186.7,0.0
2023-03-17 23:00:00,182.45,182.45,182.45,182.45,0.0
2023-03-20 23:00:00,184.3,184.3,184.3,184.3,0.0
2023-03-21 23:00:00,183.1,183.1,183.1,183.1,0.0
2023-03-22 23:00:00,176.55,176.55,176.55,176.55,0.0
2023-03-23 23:00:00,175.35,175.35,175.35,175.35,0.0
2023-03-24 23:00:00,179.65,179.65,179.65,179.65,0.0
2023-03-27 23:00:00,178.9,178.9,178.9,178.9,0.0
2023-03-28 23:00:00,178.6,178.6,178.6,178.6,0.0
2023-03-29 23:00:00,182.75,182.75,182.75,182.75,0.0
2023-03-30 23:00:00,185.0,185.0,185.0,185.0,0.0
2023-03-31 23:00:00,189.0,189.0,189.0,189.0,0.0
2023-04-03 23:00:00,187.2,187.2,187.2,187.2,0.0
2023-04-04 23:00:00,187.15,187.15,187.15,187.15,0.0
2023-04-05 23:00:00,186.2,186.2,186.2,186.2,0.0
2023-04-06 23:00:00,187.35,187.35,187.35,187.35,0.0
2023-04-10 23:00:00,188.2,188.2,188.2,188.2,0.0
2023-04-11 23:00:00,189.05,189.05,189.05,189.05,0.0
2023-04-12 23:00:00,188.55,188.55,188.55,188.55,0.0
2023-04-13 23:00:00,187.75,187.75,187.75,187.75,0.0
2023-04-14 23:00:00,184.7,184.7,184.7,184.7,0.0
2023-04-17 23:00:00,188.6,188.6,188.6,188.6,0.0
2023-04-18 23:00:00,188.3,188.3,188.3,188.3,0.0
2023-04-19 23:00:00,189.2,189.2,189.2,189.2,0.0
2023-04-20 23:00:00,187.15,187.15,187.15,187.15,0.0
2023-04-21 23:00:00,187.45,187.45,187.45,187.45,0.0
2023-04-24 23:00:00,186.8,186.8,186.8,186.8,0.0
2023-04-25 23:00:00,185.05,185.05,185.05,185.05,0.0
2023-04-26 23:00:00,183.65,183.65,183.65,183.65,0.0
2023-04-27 23:00:00,187.95,187.95,187.95,187.95,0.0
2023-04-28 23:00:00,190.1,190.1,190.1,190.1,0.0
2023-05-01 23:00:00,188.45,188.45,188.45,188.45,0.0
2023-05-02 23:00:00,185.2,185.2,185.2,185.2,0.0
2023-05-03 23:00:00,183.8,183.8,183.8,183.8,0.0
2023-05-04 23:00:00,185.65,185.65,185.65,185.65,0.0
2023-05-05 23:00:00,188.35,188.35,188.35,188.35,0.0
2023-05-08 23:00:00,187.1,187.1,187.1,187.1,0.0
2023-05-09 23:00:00,186.35,186.35,186.35,186.35,0.0
2023-05-10 23:00:00,188.2,188.2,188.2,188.2,0.0
2023-05-11 23:00:00,186.25,186.25,186.25,186.25,0.0
2023-05-12 23:00:00,186.5,186.5,186.5,186.5,0.0
2023-05-15 23:00:00,185.85,185.85,185.85,185.85,0.0
2023-05-16 23:00:00,181.2,181.2,181.2,181.2,0.0
2023-05-17 23:00:00,183.35,183.35,183.35,183.35,0.0
2023-05-18 23:00:00,182.25,182.25,182.25,182.25,0.0
2023-05-19 23:00:00,182.0,182.0,182.0,182.0,0.0
2023-05-22 23:00:00,183.1,183.1,183.1,183.1,0.0
2023-05-23 23:00:00,180.7,180.7,180.7,180.7,0.0
2023-05-24 23:00:00,176.65,176.65,176.65,176.65,0.0
2023-05-25 23:00:00,177.2,177.2,177.2,177.2,0.0
2023-05-26 23:00:00,179.25,179.25,179.25,179.25,0.0
2023-05-30 23:00:00,179.65,179.65,179.65,179.65,0.0
2023-05-31 23:00:00,180.9,180.9,180.9,180.9,0.0
2023-06-01 23:00:00,180.75,180.75,180.75,180.75,0.0
2023-06-02 23:00:00,184.65,184.65,184.65,184.65,0.0
2023-06-05 23:00:00,183.65,183.65,183.65,183.65,0.0
2023-06-06 23:00:00,184.9,184.9,184.9,184.9,0.0
