DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-12-19 23:00:00,779.9,779.9,779.9,779.9,0.0
2022-12-20 23:00:00,779.0,779.0,779.0,779.0,0.0
2022-12-21 23:00:00,785.1,785.1,785.1,785.1,0.0
2022-12-22 23:00:00,783.4,783.4,783.4,783.4,0.0
2022-12-23 23:00:00,787.3,787.3,787.3,787.3,0.0
2022-12-27 23:00:00,791.0,791.0,791.0,791.0,0.0
2022-12-28 23:00:00,781.5,781.5,781.5,781.5,0.0
2022-12-29 23:00:00,784.1,784.1,784.1,784.1,0.0
2022-12-30 23:00:00,780.2,780.2,780.2,780.2,0.0
2023-01-03 23:00:00,777.9,777.9,777.9,777.9,0.0
2023-01-04 23:00:00,780.3,780.3,780.3,780.3,0.0
2023-01-05 23:00:00,772.2,772.2,772.2,772.2,0.0
2023-01-06 23:00:00,792.7,792.7,792.7,792.7,0.0
2023-01-09 23:00:00,784.8,784.8,784.8,784.8,0.0
2023-01-10 23:00:00,783.0,783.0,783.0,783.0,0.0
2023-01-11 23:00:00,783.5,783.5,783.5,783.5,0.0
2023-01-12 23:00:00,777.4,777.4,777.4,777.4,0.0
2023-01-13 23:00:00,781.1,781.1,781.1,781.1,0.0
2023-01-17 23:00:00,781.1,781.1,781.1,781.1,0.0
2023-01-18 23:00:00,759.7,759.7,759.7,759.7,0.0
2023-01-19 23:00:00,752.1,752.1,752.1,752.1,0.0
2023-01-20 23:00:00,757.9,757.9,757.9,757.9,0.0
2023-01-23 23:00:00,759.7,759.7,759.7,759.7,0.0
2023-01-24 23:00:00,763.1,763.1,763.1,763.1,0.0
2023-01-25 23:00:00,764.6,764.6,764.6,764.6,0.0
2023-01-26 23:00:00,761.9,761.9,761.9,761.9,0.0
2023-01-27 23:00:00,759.4,759.4,759.4,759.4,0.0
2023-01-30 23:00:00,760.3,760.3,760.3,760.3,0.0
2023-01-31 23:00:00,768.5,768.5,768.5,768.5,0.0
2023-02-01 23:00:00,774.0,774.0,774.0,774.0,0.0
2023-02-02 23:00:00,767.6,767.6,767.6,767.6,0.0
2023-02-03 23:00:00,765.1,765.1,765.1,765.1,0.0
2023-02-10 23:00:00,758.8,758.8,758.8,758.8,0.0
2023-02-13 23:00:00,768.0,768.0,768.0,768.0,0.0
2023-02-14 23:00:00,760.7,760.7,760.7,760.7,0.0
2023-02-15 23:00:00,762.3,762.3,762.3,762.3,0.0
2023-02-16 23:00:00,756.7,756.7,756.7,756.7,0.0
2023-02-17 23:00:00,766.1,766.1,766.1,766.1,0.0
2023-02-21 23:00:00,763.3,763.3,763.3,763.3,0.0
2023-02-22 23:00:00,761.9,761.9,761.9,761.9,0.0
2023-02-23 23:00:00,760.6,760.6,760.6,760.6,0.0
2023-02-24 23:00:00,755.8,755.8,755.8,755.8,0.0
2023-02-27 23:00:00,754.5,754.5,754.5,754.5,0.0
2023-02-28 23:00:00,749.0,749.0,749.0,749.0,0.0
2023-03-01 23:00:00,742.6,742.6,742.6,742.6,0.0
2023-03-02 23:00:00,751.9,751.9,751.9,751.9,0.0
2023-03-03 23:00:00,752.7,752.7,752.7,752.7,0.0
2023-03-06 23:00:00,754.9,754.9,754.9,754.9,0.0
2023-03-07 23:00:00,747.0,747.0,747.0,747.0,0.0
2023-03-08 23:00:00,748.2,748.2,748.2,748.2,0.0
2023-03-09 23:00:00,740.8,740.8,740.8,740.8,0.0
2023-03-10 23:00:00,737.4,737.4,737.4,737.4,0.0
2023-03-13 23:00:00,740.8,740.8,740.8,740.8,0.0
2023-03-14 23:00:00,747.8,747.8,747.8,747.8,0.0
2023-03-15 23:00:00,751.8,751.8,751.8,751.8,0.0
2023-03-16 23:00:00,752.0,752.0,752.0,752.0,0.0
2023-03-17 23:00:00,746.6,746.6,746.6,746.6,0.0
2023-03-20 23:00:00,756.6,756.6,756.6,756.6,0.0
2023-03-21 23:00:00,755.5,755.5,755.5,755.5,0.0
2023-03-22 23:00:00,749.3,749.3,749.3,749.3,0.0
2023-03-23 23:00:00,745.5,745.5,745.5,745.5,0.0
2023-03-24 23:00:00,757.5,757.5,757.5,757.5,0.0
2023-03-27 23:00:00,761.1,761.1,761.1,761.1,0.0
2023-03-28 23:00:00,763.0,763.0,763.0,763.0,0.0
2023-03-29 23:00:00,766.8,766.8,766.8,766.8,0.0
2023-03-30 23:00:00,769.1,769.1,769.1,769.1,0.0
2023-03-31 23:00:00,775.3,775.3,775.3,775.3,0.0
2023-04-03 23:00:00,779.1,779.1,779.1,779.1,0.0
2023-04-04 23:00:00,777.1,777.1,777.1,777.1,0.0
2023-04-05 23:00:00,780.8,780.8,780.8,780.8,0.0
2023-04-06 23:00:00,781.1,781.1,781.1,781.1,0.0
2023-04-10 23:00:00,780.8,780.8,780.8,780.8,0.0
2023-04-11 23:00:00,783.0,783.0,783.0,783.0,0.0
2023-04-12 23:00:00,779.4,779.4,779.4,779.4,0.0
2023-04-13 23:00:00,783.6,783.6,783.6,783.6,0.0
2023-04-14 23:00:00,779.2,779.2,779.2,779.2,0.0
2023-04-17 23:00:00,783.3,783.3,783.3,783.3,0.0
2023-04-18 23:00:00,786.1,786.1,786.1,786.1,0.0
2023-04-19 23:00:00,785.2,785.2,785.2,785.2,0.0
2023-04-20 23:00:00,786.0,786.0,786.0,786.0,0.0
