DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-04-27 23:00:00,30.05,30.8,29.75,30.35,3339.0
2022-04-28 23:00:00,29.95,30.45,29.35,30.1,3983.0
2022-04-29 23:00:00,30.1,31.25,29.45,29.5,3134.0
2022-05-02 23:00:00,31.15,31.85,30.65,30.8,6056.0
2022-05-03 23:00:00,30.1,31.2,29.7,30.5,2922.0
2022-05-04 23:00:00,29.9,30.05,28.3,29.65,3676.0
2022-05-05 23:00:00,30.7,31.5,28.55,28.55,5776.0
2022-05-06 23:00:00,31.4,32.3,30.85,31.1,5133.0
2022-05-09 23:00:00,32.8,33.35,31.5,31.75,3472.0
2022-05-10 23:00:00,32.45,34.0,31.7,34.0,3249.0
2022-05-11 23:00:00,31.2,32.5,31.05,31.5,4382.0
2022-05-12 23:00:00,31.9,33.05,31.8,32.0,5001.0
2022-05-13 23:00:00,30.35,31.95,30.0,31.95,5585.0
2022-05-16 23:00:00,29.95,30.7,29.65,30.45,5263.0
2022-05-17 23:00:00,28.9,29.45,28.55,29.2,7911.0
2022-05-18 23:00:00,29.8,31.5,28.85,28.95,6723.0
2022-05-19 23:00:00,30.7,31.9,29.45,31.9,9399.0
2022-05-20 23:00:00,29.7,31.3,29.0,29.45,9619.0
2022-05-23 23:00:00,29.1,29.8,28.9,29.15,8440.0
2022-05-24 23:00:00,29.9,30.0,28.95,30.0,7902.0
2022-05-25 23:00:00,28.95,29.55,28.2,29.15,7626.0
2022-05-26 23:00:00,27.9,28.45,27.8,28.2,6177.0
2022-05-27 23:00:00,26.85,28.45,26.6,28.45,9683.0
2022-05-30 23:00:00,26.35,26.7,26.25,26.6,6637.0
2022-05-31 23:00:00,27.1,27.35,26.35,26.35,10592.0
2022-06-01 23:00:00,26.85,27.2,26.15,26.7,10403.0
2022-06-02 23:00:00,25.6,26.4,25.2,26.15,10513.0
2022-06-03 23:00:00,26.0,26.05,25.4,25.65,10915.0
2022-06-06 23:00:00,25.2,25.9,24.8,25.9,9858.0
2022-06-07 23:00:00,25.55,26.15,24.85,25.55,16616.0
2022-06-08 23:00:00,25.2,25.5,24.85,24.85,11542.0
2022-06-09 23:00:00,25.7,26.4,24.75,24.85,19348.0
2022-06-10 23:00:00,28.3,28.45,26.0,26.55,22961.0
2022-06-13 23:00:00,30.45,31.65,28.3,28.75,36080.0
2022-06-14 23:00:00,30.9,31.65,29.95,31.65,38846.0
2022-06-15 23:00:00,29.15,30.8,27.6,30.5,36202.0
2022-06-16 23:00:00,31.25,31.8,27.9,28.2,29797.0
2022-06-17 23:00:00,30.2,31.6,29.5,31.6,24501.0
2022-06-20 23:00:00,28.95,30.9,28.9,30.4,10611.0
2022-06-21 23:00:00,28.15,28.85,27.75,28.8,19519.0
2022-06-22 23:00:00,28.5,29.7,27.95,28.95,17876.0
2022-06-23 23:00:00,28.45,29.05,27.8,28.65,21835.0
2022-06-24 23:00:00,27.45,28.15,27.3,28.15,19391.0
2022-06-27 23:00:00,27.05,28.0,27.0,27.7,24487.0
2022-06-28 23:00:00,26.95,27.8,26.45,26.95,16014.0
2022-06-29 23:00:00,28.2,28.4,27.4,27.8,22259.0
2022-06-30 23:00:00,29.25,29.95,27.55,27.8,37696.0
2022-07-01 23:00:00,29.1,30.1,28.1,29.15,28548.0
2022-07-04 23:00:00,28.4,29.75,28.0,28.2,11203.0
2022-07-05 23:00:00,30.85,30.9,28.15,28.45,38268.0
2022-07-06 23:00:00,30.05,30.3,28.95,30.0,21821.0
2022-07-07 23:00:00,28.75,29.35,28.6,29.15,17181.0
2022-07-08 23:00:00,28.4,29.55,28.2,29.2,20211.0
2022-07-11 23:00:00,29.0,29.5,28.35,28.55,18597.0
2022-07-12 23:00:00,29.3,30.35,28.95,29.5,22763.0
2022-07-13 23:00:00,30.2,31.55,29.45,29.9,25933.0
2022-07-14 23:00:00,31.95,32.75,29.9,30.2,23343.0
2022-07-15 23:00:00,29.6,32.3,29.4,31.4,16327.0
2022-07-18 23:00:00,29.15,29.85,28.65,29.3,8164.0
2022-07-19 23:00:00,26.75,30.0,26.3,29.75,9102.0
2022-07-20 23:00:00,26.9,27.25,26.5,26.7,344.0
