DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-10-27 23:00:00,29.65,29.65,29.65,29.65,0.0
2022-11-01 23:00:00,28.2,28.2,28.2,28.2,1.0
2022-11-02 23:00:00,28.0,28.5,28.0,28.5,3.0
2022-11-03 23:00:00,28.15,28.15,28.15,28.15,1.0
2022-11-07 23:00:00,27.85,27.85,27.85,27.85,7.0
2022-11-08 23:00:00,27.95,28.4,27.9,28.4,12.0
2022-11-09 23:00:00,28.3,28.7,28.3,28.7,7.0
2022-11-10 23:00:00,28.05,28.05,27.85,27.85,23.0
2022-11-11 23:00:00,28.05,28.25,28.05,28.2,25.0
2022-11-14 23:00:00,28.1,28.2,28.1,28.2,7.0
2022-11-15 23:00:00,28.4,28.4,28.3,28.35,6.0
2022-11-16 23:00:00,28.55,28.55,28.15,28.25,33.0
2022-11-17 23:00:00,28.5,28.5,28.25,28.3,120.0
2022-11-18 23:00:00,28.25,28.35,28.15,28.15,88.0
2022-11-21 23:00:00,28.15,28.2,28.05,28.05,17.0
2022-11-22 23:00:00,27.8,27.8,27.55,27.55,48.0
2022-11-23 23:00:00,27.45,27.55,27.3,27.3,51.0
2022-11-28 23:00:00,27.65,27.95,27.55,27.95,84.0
2022-11-29 23:00:00,27.85,27.9,27.55,27.65,151.0
2022-11-30 23:00:00,27.6,27.75,27.0,27.0,161.0
2022-12-01 23:00:00,26.95,27.15,26.9,26.9,69.0
2022-12-02 23:00:00,26.95,26.95,26.6,26.6,97.0
2022-12-05 23:00:00,26.8,26.95,26.65,26.65,124.0
2022-12-06 23:00:00,26.6,26.9,26.6,26.85,139.0
2022-12-07 23:00:00,26.95,27.05,26.9,27.0,38.0
2022-12-08 23:00:00,27.1,27.1,26.75,26.75,146.0
2022-12-09 23:00:00,26.8,27.05,26.7,27.05,143.0
2022-12-12 23:00:00,27.0,27.05,26.8,26.85,160.0
2022-12-13 23:00:00,26.25,26.9,26.25,26.55,133.0
2022-12-14 23:00:00,26.55,26.85,26.4,26.45,368.0
2022-12-15 23:00:00,26.75,27.15,26.65,27.1,296.0
2022-12-16 23:00:00,27.3,27.5,27.0,27.15,256.0
2022-12-19 23:00:00,27.1,27.2,26.9,27.05,179.0
2022-12-20 23:00:00,27.05,27.15,26.85,26.95,318.0
2022-12-21 23:00:00,26.7,26.7,26.4,26.5,1062.0
2022-12-22 23:00:00,26.6,27.25,26.6,27.1,773.0
2022-12-27 23:00:00,27.0,27.05,26.85,26.85,340.0
2022-12-28 23:00:00,26.75,27.0,26.65,26.9,270.0
2022-12-29 23:00:00,26.75,26.85,26.6,26.85,599.0
2022-12-30 23:00:00,26.9,27.0,26.75,26.8,587.0
2023-01-03 23:00:00,26.5,26.75,26.3,26.35,1058.0
2023-01-04 23:00:00,26.15,26.25,25.9,25.95,697.0
2023-01-05 23:00:00,26.05,26.1,25.9,25.95,590.0
2023-01-06 23:00:00,25.6,25.7,25.3,25.4,771.0
2023-01-09 23:00:00,25.25,25.45,25.05,25.35,680.0
2023-01-10 23:00:00,25.3,25.3,24.75,24.85,1029.0
2023-01-11 23:00:00,24.75,24.9,24.6,24.8,1084.0
2023-01-12 23:00:00,24.55,24.7,24.3,24.4,982.0
2023-01-13 23:00:00,24.5,24.5,23.85,23.95,1946.0
2023-01-17 23:00:00,24.0,24.2,23.9,24.1,2086.0
2023-01-18 23:00:00,23.95,24.6,23.95,24.55,3454.0
2023-01-19 23:00:00,24.8,24.8,24.4,24.55,1865.0
2023-01-20 23:00:00,24.55,24.55,24.0,24.0,1278.0
2023-01-23 23:00:00,23.95,24.0,23.65,23.7,2600.0
2023-01-24 23:00:00,23.7,23.75,23.15,23.2,2174.0
2023-01-25 23:00:00,23.5,23.6,23.05,23.05,1793.0
2023-01-26 23:00:00,22.95,23.0,22.75,22.85,2313.0
2023-01-27 23:00:00,22.85,22.85,22.4,22.55,1595.0
2023-01-30 23:00:00,22.7,22.9,22.55,22.55,2193.0
2023-01-31 23:00:00,22.55,22.55,22.3,22.45,2815.0
2023-02-01 23:00:00,22.35,22.65,22.05,22.05,3060.0
2023-02-02 23:00:00,21.95,22.55,21.9,22.35,3657.0
2023-02-03 23:00:00,22.6,22.8,22.4,22.65,2506.0
