DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-20 23:00:00,29.95,29.95,29.95,29.95,0.0
2022-05-23 23:00:00,29.275,29.275,29.275,29.275,0.0
2022-05-24 23:00:00,29.35,29.9,29.35,29.9,2.0
2022-05-25 23:00:00,28.9,29.4,28.9,29.4,1.0
2022-05-26 23:00:00,29.0,29.0,28.85,28.85,1.0
2022-05-27 23:00:00,28.55,28.55,28.55,28.55,0.0
2022-05-30 23:00:00,28.55,28.55,28.55,28.55,1.0
2022-05-31 23:00:00,28.55,28.6,28.55,28.6,1.0
2022-06-01 23:00:00,28.45,28.45,28.45,28.45,0.0
2022-06-02 23:00:00,28.0,28.0,27.95,27.95,1.0
2022-06-03 23:00:00,28.35,28.35,28.35,28.35,0.0
2022-06-06 23:00:00,28.375,28.375,28.375,28.375,0.0
2022-06-07 23:00:00,28.1,28.8,28.1,28.65,15.0
2022-06-08 23:00:00,28.1,28.3,28.05,28.25,58.0
2022-06-09 23:00:00,28.725,28.725,28.35,28.35,3.0
2022-06-10 23:00:00,29.625,29.8,28.65,28.65,33.0
2022-06-13 23:00:00,31.225,31.225,30.0,30.0,31.0
2022-06-14 23:00:00,30.85,31.3,30.85,31.1,5.0
2022-06-15 23:00:00,29.8,30.15,29.3,30.15,25.0
2022-06-16 23:00:00,30.925,30.925,29.4,29.4,30.0
2022-06-17 23:00:00,30.175,30.175,30.175,30.175,0.0
2022-06-20 23:00:00,30.15,30.35,30.15,30.35,11.0
2022-06-21 23:00:00,29.75,29.95,29.65,29.95,95.0
2022-06-22 23:00:00,29.275,30.25,29.275,30.25,45.0
2022-06-23 23:00:00,29.275,29.65,29.15,29.3,70.0
2022-06-24 23:00:00,29.0,29.15,28.95,29.15,12.0
2022-06-27 23:00:00,28.7,28.9,28.6,28.85,101.0
2022-06-28 23:00:00,29.15,29.15,28.5,28.5,5.0
2022-06-29 23:00:00,29.25,29.5,29.25,29.5,1.0
2022-06-30 23:00:00,29.525,29.8,29.525,29.6,10.0
2022-07-01 23:00:00,29.175,29.85,29.175,29.55,26.0
2022-07-04 23:00:00,29.175,29.3,29.175,29.3,4.0
2022-07-05 23:00:00,29.1,29.8,29.1,29.75,30.0
2022-07-06 23:00:00,28.975,29.2,28.975,29.2,9.0
2022-07-07 23:00:00,28.875,29.1,28.65,29.1,19.0
2022-07-08 23:00:00,28.6,28.7,28.55,28.7,7.0
2022-07-11 23:00:00,29.025,29.1,28.75,28.75,47.0
2022-07-12 23:00:00,29.15,29.15,28.8,29.15,19.0
2022-07-13 23:00:00,29.15,29.4,29.05,29.15,45.0
2022-07-14 23:00:00,29.35,29.85,29.35,29.75,8.0
2022-07-15 23:00:00,28.75,29.05,28.75,29.0,8.0
2022-07-18 23:00:00,29.15,29.25,28.4,28.7,38.0
2022-07-19 23:00:00,28.7,28.7,28.5,28.7,13.0
2022-07-20 23:00:00,28.375,28.8,28.375,28.8,19.0
2022-07-21 23:00:00,28.3,28.5,28.25,28.5,51.0
2022-07-22 23:00:00,28.25,28.55,28.25,28.35,25.0
2022-07-25 23:00:00,28.25,28.4,28.1,28.25,55.0
2022-07-26 23:00:00,28.425,28.65,28.425,28.55,3.0
2022-07-27 23:00:00,27.8,28.1,27.75,28.1,43.0
2022-07-28 23:00:00,27.075,27.8,27.075,27.8,25.0
2022-07-29 23:00:00,26.8,26.95,26.65,26.9,84.0
2022-08-01 23:00:00,27.2,27.2,26.9,26.95,10.0
2022-08-02 23:00:00,27.55,27.65,27.15,27.25,64.0
2022-08-03 23:00:00,26.8,27.55,26.8,27.55,50.0
2022-08-04 23:00:00,27.075,27.15,27.0,27.0,15.0
2022-08-05 23:00:00,26.925,27.45,26.925,27.05,20.0
2022-08-08 23:00:00,27.0,27.2,26.7,26.85,66.0
2022-08-09 23:00:00,27.175,27.3,27.15,27.15,69.0
2022-08-10 23:00:00,26.275,27.15,26.275,27.15,31.0
2022-08-11 23:00:00,26.45,26.7,26.2,26.4,56.0
2022-08-12 23:00:00,26.15,26.15,25.9,26.1,63.0
2022-08-15 23:00:00,25.875,26.25,25.85,26.2,80.0
2022-08-16 23:00:00,26.0,26.0,25.8,25.9,95.0
2022-08-17 23:00:00,26.125,26.35,26.0,26.05,114.0
2022-08-18 23:00:00,25.95,26.2,25.95,26.2,41.0
2022-08-19 23:00:00,26.65,26.95,26.35,26.35,73.0
2022-08-22 23:00:00,27.475,27.475,26.9,26.9,31.0
2022-08-23 23:00:00,27.2,27.4,27.0,27.4,26.0
2022-08-24 23:00:00,26.7,27.05,26.7,27.05,31.0
2022-08-25 23:00:00,26.2,26.75,26.2,26.75,152.0
2022-08-26 23:00:00,27.55,27.65,26.15,26.3,131.0
2022-08-29 23:00:00,27.4,28.0,27.35,27.8,131.0
2022-08-30 23:00:00,27.725,27.9,27.1,27.35,69.0
2022-08-31 23:00:00,27.425,27.45,27.15,27.15,67.0
2022-09-01 23:00:00,27.25,28.15,27.25,27.85,49.0
2022-09-02 23:00:00,27.325,27.5,26.45,27.15,172.0
2022-09-05 23:00:00,27.325,27.325,27.325,27.325,0.0
2022-09-06 23:00:00,27.625,27.7,26.85,27.05,57.0
2022-09-07 23:00:00,26.65,27.8,26.6,27.7,80.0
2022-09-08 23:00:00,26.4,27.0,26.35,26.7,110.0
2022-09-09 23:00:00,26.3,26.3,26.0,26.3,128.0
2022-09-12 23:00:00,26.0,26.25,25.7,26.1,149.0
2022-09-13 23:00:00,27.7,27.9,25.8,25.9,200.0
2022-09-14 23:00:00,27.675,27.9,27.4,27.45,82.0
2022-09-15 23:00:00,27.6,27.8,27.25,27.6,85.0
2022-09-16 23:00:00,27.575,28.5,27.5,27.8,224.0
2022-09-19 23:00:00,26.85,28.1,26.75,27.7,124.0
2022-09-20 23:00:00,27.4,27.65,26.6,26.7,206.0
2022-09-21 23:00:00,28.1,28.25,26.75,27.45,1376.0
2022-09-22 23:00:00,27.875,28.5,27.5,28.45,1266.0
2022-09-23 23:00:00,29.2,30.0,27.75,27.9,2624.0
2022-09-26 23:00:00,30.1,30.3,28.85,29.3,1619.0
2022-09-27 23:00:00,30.575,31.1,29.3,30.3,1204.0
2022-09-28 23:00:00,29.65,31.65,29.35,30.5,1990.0
2022-09-29 23:00:00,30.375,31.4,29.45,29.5,1968.0
2022-09-30 23:00:00,31.07,31.1,29.65,30.35,1557.0
2022-10-03 23:00:00,29.85,31.45,29.35,31.02,1038.0
2022-10-04 23:00:00,28.83,29.89,28.55,29.56,1417.0
2022-10-05 23:00:00,29.045,29.78,28.84,28.86,889.0
2022-10-06 23:00:00,29.845,29.95,28.48,28.87,819.0
2022-10-07 23:00:00,31.02,31.3,29.65,29.9,1367.0
2022-10-10 23:00:00,31.74,32.35,31.1,31.4,1501.0
2022-10-11 23:00:00,32.175,32.49,31.19,31.65,1079.0
2022-10-12 23:00:00,31.78,32.19,31.47,31.9,1130.0
2022-10-13 23:00:00,31.0,32.6,30.71,31.85,2870.0
2022-10-14 23:00:00,31.585,32.21,30.2,30.8,2975.0
2022-10-17 23:00:00,30.88,31.6,30.18,31.59,2434.0
2022-10-18 23:00:00,30.15,30.97,29.9,30.6,2815.0
2022-10-19 23:00:00,30.4,30.91,29.64,30.43,5397.0
2022-10-20 23:00:00,29.965,30.86,29.42,30.45,5503.0
2022-10-21 23:00:00,29.985,30.36,29.26,30.07,4890.0
2022-10-24 23:00:00,29.35,30.31,29.3,29.7,3889.0
2022-10-25 23:00:00,28.185,29.66,28.12,29.5,4236.0
2022-10-26 23:00:00,27.49,28.9,27.35,28.35,4235.0
2022-10-27 23:00:00,26.92,27.91,26.75,27.47,5875.0
2022-10-28 23:00:00,26.26,27.65,26.04,27.3,5787.0
2022-10-31 23:00:00,25.875,26.75,25.79,26.29,3900.0
2022-11-01 23:00:00,25.635,26.14,25.54,26.0,4790.0
2022-11-02 23:00:00,26.45,26.65,25.43,25.8,4725.0
2022-11-03 23:00:00,25.67,27.25,25.55,26.36,5012.0
2022-11-04 23:00:00,25.53,26.29,24.64,26.04,6013.0
2022-11-07 23:00:00,25.155,25.91,24.91,25.9,3676.0
2022-11-08 23:00:00,26.1,26.39,24.93,25.4,5038.0
2022-11-09 23:00:00,26.855,27.14,26.0,26.05,4114.0
2022-11-10 23:00:00,24.63,26.92,24.25,26.89,6468.0
2022-11-11 23:00:00,23.95,25.2,23.85,24.85,3406.0
2022-11-14 23:00:00,24.235,24.41,23.29,24.25,4139.0
2022-11-15 23:00:00,24.585,26.04,23.39,24.09,3793.0
2022-11-16 23:00:00,24.93,25.5,24.01,24.01,54.0
