DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-10-21 23:00:00,30.05,30.05,30.05,30.05,0.0
2022-10-24 23:00:00,29.89,29.89,29.89,29.89,0.0
2022-10-25 23:00:00,29.35,29.35,29.35,29.35,0.0
2022-10-26 23:00:00,29.05,29.05,29.05,29.05,0.0
2022-10-27 23:00:00,28.945,28.945,28.945,28.945,0.0
2022-10-28 23:00:00,28.6,28.6,28.4,28.46,17.0
2022-10-31 23:00:00,28.46,28.46,28.415,28.415,1.0
2022-11-01 23:00:00,28.27,28.27,28.085,28.085,7.0
2022-11-02 23:00:00,28.445,28.445,28.445,28.445,0.0
2022-11-03 23:00:00,28.05,28.05,28.05,28.05,0.0
2022-11-04 23:00:00,28.15,28.15,27.45,27.66,6.0
2022-11-07 23:00:00,27.75,27.75,27.55,27.55,36.0
2022-11-08 23:00:00,27.5,27.89,27.45,27.89,85.0
2022-11-09 23:00:00,28.2,28.525,28.2,28.525,10.0
2022-11-10 23:00:00,28.4,28.4,27.805,27.805,1.0
2022-11-11 23:00:00,27.86,27.975,27.86,27.975,2.0
2022-11-14 23:00:00,28.08,28.1,28.08,28.1,3.0
2022-11-15 23:00:00,27.88,28.2,27.8,28.2,110.0
2022-11-16 23:00:00,28.19,28.19,27.975,27.975,1.0
2022-11-17 23:00:00,27.95,28.0,27.855,27.855,21.0
2022-11-18 23:00:00,27.75,27.94,27.7,27.75,15.0
2022-11-21 23:00:00,27.55,27.55,27.35,27.35,65.0
2022-11-22 23:00:00,27.34,27.34,26.82,26.82,74.0
2022-11-23 23:00:00,26.8,26.87,26.55,26.55,38.0
2022-11-24 23:00:00,26.55,26.55,26.55,26.55,0.0
2022-11-25 23:00:00,26.59,26.76,26.59,26.76,41.0
2022-11-28 23:00:00,27.0,27.36,26.9,27.305,8.0
2022-11-29 23:00:00,27.23,27.23,27.095,27.095,11.0
2022-11-30 23:00:00,27.14,27.2,26.5,26.5,49.0
2022-12-01 23:00:00,26.41,26.45,26.25,26.25,74.0
2022-12-02 23:00:00,26.3,26.3,25.965,25.965,8.0
2022-12-05 23:00:00,26.04,26.245,26.04,26.245,9.0
2022-12-06 23:00:00,26.05,26.35,26.05,26.35,12.0
2022-12-07 23:00:00,26.35,26.47,26.35,26.47,9.0
2022-12-08 23:00:00,26.15,26.15,26.15,26.15,0.0
2022-12-09 23:00:00,26.1,26.49,26.05,26.49,12.0
2022-12-12 23:00:00,26.4,26.4,26.145,26.145,1.0
2022-12-13 23:00:00,26.25,26.25,25.25,25.75,267.0
2022-12-14 23:00:00,25.72,25.9,25.45,25.49,119.0
2022-12-15 23:00:00,25.45,26.45,25.35,26.34,66.0
2022-12-16 23:00:00,26.8,26.95,26.5,26.645,58.0
2022-12-19 23:00:00,26.4,26.56,26.2,26.37,74.0
2022-12-20 23:00:00,26.59,26.59,26.1,26.25,87.0
2022-12-21 23:00:00,26.05,26.05,25.7,25.74,26.0
2022-12-22 23:00:00,25.65,26.52,25.6,26.465,15.0
2022-12-23 23:00:00,26.5,26.5,26.095,26.095,31.0
2022-12-27 23:00:00,26.05,26.07,25.95,26.045,16.0
2022-12-28 23:00:00,25.84,26.01,25.8,26.01,9.0
2022-12-30 23:00:00,25.99,25.99,25.99,25.99,1.0
2023-01-03 23:00:00,25.65,25.9,25.51,25.51,22.0
2023-01-04 23:00:00,25.1,25.1,24.8,24.87,72.0
2023-01-05 23:00:00,24.9,24.9,24.9,24.9,4.0
2023-01-06 23:00:00,24.4,24.4,24.05,24.05,70.0
2023-01-09 23:00:00,24.05,24.25,23.85,24.25,84.0
2023-01-10 23:00:00,23.9,23.9,23.69,23.69,36.0
2023-01-11 23:00:00,23.55,23.8,23.55,23.6,103.0
2023-01-12 23:00:00,23.36,23.53,23.05,23.1,47.0
2023-01-13 23:00:00,23.15,23.15,22.46,22.55,49.0
2023-01-17 23:00:00,22.85,22.9,22.51,22.51,138.0
2023-01-18 23:00:00,22.6,23.33,22.6,23.33,25.0
2023-01-19 23:00:00,23.51,23.7,23.06,23.25,149.0
2023-01-20 23:00:00,23.1,23.1,22.64,22.69,108.0
2023-01-23 23:00:00,22.65,22.65,22.45,22.45,76.0
2023-01-24 23:00:00,22.51,22.51,21.71,21.71,112.0
2023-01-25 23:00:00,22.2,22.54,21.72,21.72,86.0
2023-01-26 23:00:00,21.6,21.8,21.47,21.47,29.0
2023-01-27 23:00:00,21.31,21.31,20.93,21.2,80.0
2023-01-30 23:00:00,21.52,21.74,21.41,21.41,86.0
2023-01-31 23:00:00,21.3,21.39,21.01,21.05,80.0
2023-02-01 23:00:00,21.05,21.4,20.56,20.72,196.0
2023-02-02 23:00:00,20.37,21.44,20.36,21.1,279.0
2023-02-03 23:00:00,21.15,21.73,21.15,21.37,32.0
2023-02-06 23:00:00,21.47,21.67,21.45,21.66,26.0
2023-02-07 23:00:00,21.72,21.75,20.92,21.15,142.0
2023-02-08 23:00:00,21.3,22.0,21.1,21.95,129.0
2023-02-09 23:00:00,21.51,22.4,21.4,22.4,215.0
2023-02-10 23:00:00,22.69,23.04,22.55,22.72,238.0
2023-02-13 23:00:00,22.36,22.4,21.87,21.87,129.0
2023-02-14 23:00:00,21.79,21.87,21.2,21.45,243.0
2023-02-15 23:00:00,21.49,21.53,21.1,21.15,566.0
2023-02-16 23:00:00,21.53,21.97,21.2,21.86,857.0
2023-02-17 23:00:00,22.19,22.54,21.89,22.0,491.0
2023-02-21 23:00:00,22.8,23.4,22.56,23.39,703.0
2023-02-22 23:00:00,23.25,23.53,22.67,22.7,777.0
2023-02-23 23:00:00,22.39,22.91,22.05,22.11,542.0
2023-02-24 23:00:00,22.73,23.25,22.7,22.89,991.0
2023-02-27 23:00:00,22.43,22.45,22.1,22.21,744.0
2023-02-28 23:00:00,22.19,22.21,21.65,21.85,567.0
2023-03-01 23:00:00,21.92,22.31,21.64,22.02,484.0
2023-03-02 23:00:00,22.29,22.29,21.25,21.27,679.0
2023-03-03 23:00:00,21.11,21.15,20.66,20.66,1300.0
2023-03-06 23:00:00,20.63,20.63,20.31,20.35,977.0
2023-03-07 23:00:00,20.43,20.88,20.13,20.86,1583.0
2023-03-08 23:00:00,20.8,20.93,20.38,20.5,743.0
2023-03-09 23:00:00,20.26,22.55,20.2,22.55,1523.0
2023-03-10 23:00:00,22.55,26.77,22.45,24.75,3870.0
2023-03-13 23:00:00,27.03,27.5,24.95,25.2,3350.0
2023-03-14 23:00:00,23.75,24.71,22.67,23.8,3215.0
2023-03-15 23:00:00,26.07,27.99,25.34,26.3,5436.0
2023-03-16 23:00:00,26.57,26.75,23.55,23.57,2735.0
2023-03-17 23:00:00,24.33,26.46,23.93,26.09,3497.0
2023-03-20 23:00:00,26.12,26.55,24.8,24.95,2259.0
2023-03-21 23:00:00,23.73,23.75,22.67,22.8,2241.0
2023-03-22 23:00:00,22.63,23.67,21.91,23.61,5993.0
2023-03-23 23:00:00,22.81,24.62,22.04,24.23,7486.0
2023-03-24 23:00:00,25.02,26.02,23.19,23.35,8652.0
2023-03-27 23:00:00,22.69,23.05,22.19,22.25,4620.0
2023-03-28 23:00:00,22.34,22.5,21.63,21.66,3964.0
2023-03-29 23:00:00,21.1,21.3,20.78,20.91,2744.0
2023-03-30 09:30:00,20.83,20.96,20.74,20.84,592.0
2023-03-30 10:00:00,20.81,21.14,20.75,21.06,475.0
2023-03-30 11:00:00,21.07,21.47,21.03,21.45,267.0
2023-03-30 12:00:00,21.45,21.68,21.25,21.45,603.0
2023-03-30 13:00:00,21.47,21.59,21.29,21.42,357.0
2023-03-30 14:00:00,21.34,21.34,21.03,21.05,310.0
2023-03-30 15:00:00,21.0,21.0,20.79,20.81,518.0
2023-03-30 16:00:00,20.84,20.88,20.82,20.88,47.0
2023-03-30 23:00:00,20.83,21.68,20.74,20.88,3169.0
2023-03-31 09:30:00,20.71,20.82,20.64,20.76,181.0
2023-03-31 10:00:00,20.76,20.76,20.58,20.7,367.0
2023-03-31 11:00:00,20.72,20.88,20.63,20.67,379.0
2023-03-31 12:00:00,20.65,20.66,20.45,20.55,460.0
2023-03-31 13:00:00,20.5,20.59,20.49,20.52,225.0
2023-03-31 14:00:00,20.5,20.61,20.43,20.45,602.0
2023-03-31 15:00:00,20.55,20.81,20.45,20.81,604.0
2023-03-31 16:00:00,20.81,20.81,20.68,20.7,55.0
2023-03-31 23:00:00,20.71,20.88,20.43,20.7,2873.0
2023-04-03 09:30:00,20.78,20.81,20.68,20.75,148.0
2023-04-03 10:00:00,20.72,21.08,20.69,21.04,354.0
2023-04-03 11:00:00,21.08,21.22,20.54,20.58,285.0
2023-04-03 12:00:00,20.55,20.56,20.42,20.49,341.0
2023-04-03 13:00:00,20.51,20.56,20.43,20.46,168.0
2023-04-03 14:00:00,20.44,20.46,20.34,20.38,205.0
2023-04-03 15:00:00,20.37,20.38,20.2,20.21,450.0
2023-04-03 16:00:00,20.21,20.26,20.21,20.26,74.0
2023-04-03 23:00:00,20.78,21.22,20.2,20.26,2025.0
2023-04-04 09:30:00,20.38,20.54,20.38,20.39,199.0
2023-04-04 10:00:00,20.37,20.86,20.31,20.81,588.0
2023-04-04 11:00:00,20.81,21.16,20.78,21.04,809.0
2023-04-04 12:00:00,21.0,21.26,20.79,20.8,558.0
2023-04-04 13:00:00,20.85,20.85,20.49,20.56,435.0
2023-04-04 14:00:00,20.59,20.9,20.48,20.81,204.0
2023-04-04 15:00:00,20.81,20.91,20.57,20.61,597.0
2023-04-04 16:00:00,20.61,20.61,20.53,20.55,73.0
2023-04-04 23:00:00,20.38,21.26,20.31,20.55,3463.0
2023-04-05 09:30:00,20.79,20.85,20.6,20.7,174.0
2023-04-05 10:00:00,20.75,21.23,20.69,21.18,396.0
2023-04-05 11:00:00,21.21,21.21,20.63,20.64,257.0
2023-04-05 12:00:00,20.63,21.08,20.55,20.94,399.0
2023-04-05 13:00:00,20.95,20.95,20.59,20.66,213.0
2023-04-05 14:00:00,20.65,20.65,20.4,20.4,142.0
2023-04-05 15:00:00,20.44,20.61,20.4,20.41,159.0
2023-04-05 16:00:00,20.44,20.51,20.44,20.47,26.0
2023-04-05 23:00:00,20.79,21.23,20.4,20.47,1766.0
2023-04-06 09:30:00,20.64,20.87,20.62,20.74,281.0
2023-04-06 10:00:00,20.73,20.77,20.47,20.59,373.0
2023-04-06 11:00:00,20.56,20.57,20.28,20.28,144.0
2023-04-06 12:00:00,20.27,20.31,20.03,20.08,384.0
2023-04-06 13:00:00,20.09,20.1,19.86,19.95,210.0
2023-04-06 14:00:00,19.94,19.97,19.8,19.9,239.0
2023-04-06 15:00:00,19.89,20.01,19.83,19.99,457.0
2023-04-06 16:00:00,19.98,20.01,19.96,19.98,55.0
2023-04-06 23:00:00,20.64,20.87,19.8,19.98,2143.0
2023-04-10 09:30:00,20.27,20.41,20.1,20.31,269.0
2023-04-10 10:00:00,20.31,20.31,19.91,19.99,292.0
2023-04-10 11:00:00,19.92,20.04,19.89,20.03,156.0
2023-04-10 12:00:00,20.05,20.19,19.86,19.9,235.0
2023-04-10 13:00:00,19.87,19.94,19.72,19.73,166.0
2023-04-10 14:00:00,19.75,19.91,19.74,19.83,225.0
2023-04-10 15:00:00,19.82,20.1,19.79,19.83,387.0
2023-04-10 16:00:00,19.83,19.85,19.8,19.8,21.0
2023-04-10 23:00:00,20.27,20.41,19.72,19.8,1751.0
2023-04-11 09:30:00,19.7,19.83,19.6,19.73,244.0
2023-04-11 10:00:00,19.72,19.8,19.54,19.57,226.0
2023-04-11 11:00:00,19.55,19.55,19.39,19.43,222.0
2023-04-11 12:00:00,19.43,19.63,19.35,19.53,371.0
2023-04-11 13:00:00,19.52,19.52,19.39,19.39,177.0
2023-04-11 14:00:00,19.4,19.53,19.39,19.53,68.0
2023-04-11 15:00:00,19.54,19.87,19.42,19.79,245.0
2023-04-11 16:00:00,19.76,19.78,19.71,19.75,76.0
2023-04-11 23:00:00,19.7,19.87,19.35,19.75,1629.0
2023-04-12 09:30:00,19.35,19.77,19.2,19.67,227.0
2023-04-12 10:00:00,19.7,19.96,19.39,19.91,491.0
2023-04-12 11:00:00,19.87,20.16,19.74,19.76,258.0
2023-04-12 12:00:00,19.7,19.78,19.57,19.57,86.0
2023-04-12 13:00:00,19.61,19.64,19.46,19.49,263.0
2023-04-12 14:00:00,19.46,19.87,19.29,19.69,430.0
2023-04-12 15:00:00,19.7,20.12,19.59,19.95,546.0
2023-04-12 16:00:00,19.96,19.98,19.94,19.97,31.0
2023-04-12 23:00:00,19.35,20.16,19.2,19.97,2332.0
2023-04-13 09:30:00,19.52,19.57,19.4,19.45,145.0
2023-04-13 10:00:00,19.44,19.46,19.1,19.12,849.0
2023-04-13 11:00:00,19.13,19.16,18.99,19.06,408.0
2023-04-13 12:00:00,19.07,19.12,19.04,19.05,225.0
2023-04-13 13:00:00,19.08,19.16,19.02,19.1,126.0
2023-04-13 14:00:00,19.13,19.15,18.96,18.99,380.0
2023-04-13 15:00:00,18.99,19.0,18.71,18.77,572.0
2023-04-13 16:00:00,18.78,18.79,18.75,18.79,46.0
2023-04-13 23:00:00,19.52,19.57,18.71,18.79,2751.0
