DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-11-14 23:00:00,142.77,142.77,142.77,142.77,0.0
2022-11-15 23:00:00,142.07,142.07,142.07,142.07,0.0
2022-11-16 23:00:00,142.71,142.71,142.71,142.71,0.0
2022-11-17 23:00:00,143.31,143.31,143.31,143.31,0.0
2022-11-18 23:00:00,142.99,142.99,142.99,142.99,0.0
2022-11-21 23:00:00,143.6,143.6,143.6,143.6,0.0
2022-11-22 23:00:00,143.37,143.37,143.37,143.37,0.0
2022-11-23 23:00:00,142.96,142.96,142.96,142.96,0.0
2022-11-24 23:00:00,142.96,142.96,142.96,142.96,0.0
2022-11-25 23:00:00,142.83,142.83,142.83,142.83,0.0
2022-11-28 23:00:00,141.62,141.62,141.62,141.62,0.0
2022-11-29 23:00:00,141.29,141.29,141.29,141.29,0.0
2022-11-30 23:00:00,141.77,141.77,141.77,141.77,0.0
2022-12-01 23:00:00,140.47,140.47,140.47,140.47,0.0
2022-12-02 23:00:00,139.79,139.79,139.79,139.79,0.0
2022-12-05 23:00:00,141.53,141.53,141.53,141.53,0.0
2022-12-06 23:00:00,141.38,141.38,141.38,141.38,0.0
2022-12-07 23:00:00,141.42,141.42,141.42,141.42,0.0
2022-12-08 23:00:00,142.46,142.46,142.46,142.46,0.0
2022-12-09 23:00:00,142.1,142.1,142.1,142.1,0.0
2022-12-12 23:00:00,143.16,143.16,143.16,143.16,0.0
2022-12-13 23:00:00,142.3,142.3,142.3,142.3,0.0
2022-12-14 23:00:00,142.63,142.63,142.63,142.63,0.0
2022-12-15 23:00:00,144.61,144.61,144.61,144.61,0.0
2022-12-16 23:00:00,142.87,142.87,142.87,142.87,0.0
2022-12-19 23:00:00,143.37,143.37,143.37,143.37,0.0
2022-12-20 23:00:00,137.87,137.87,137.87,137.87,0.0
2022-12-21 23:00:00,138.47,138.47,138.47,138.47,0.0
2022-12-22 23:00:00,138.46,138.46,138.46,138.46,0.0
2022-12-23 23:00:00,139.28,139.28,139.28,139.28,0.0
2022-12-27 23:00:00,140.23,140.23,140.23,140.23,0.0
2022-12-28 23:00:00,140.84,140.84,140.84,140.84,0.0
2022-12-29 23:00:00,140.14,140.14,140.14,140.14,0.0
2022-12-30 23:00:00,138.39,138.39,138.39,138.39,0.0
2023-01-03 23:00:00,136.45,136.45,136.45,136.45,0.0
2023-01-04 23:00:00,138.9,138.9,138.9,138.9,0.0
2023-01-05 23:00:00,138.53,138.53,138.53,138.53,0.0
2023-01-06 23:00:00,138.84,138.84,138.84,138.84,0.0
2023-01-09 23:00:00,139.74,139.74,139.74,139.74,0.0
2023-01-10 23:00:00,140.3,140.3,140.3,140.3,0.0
2023-01-11 23:00:00,140.83,140.83,140.83,140.83,0.0
2023-01-12 23:00:00,138.65,138.65,138.65,138.65,0.0
2023-01-13 23:00:00,136.88,136.88,136.88,136.88,0.0
2023-01-16 23:00:00,136.88,136.88,136.88,136.88,0.0
2023-01-17 23:00:00,136.91,136.91,136.91,136.91,0.0
2023-01-18 23:00:00,137.31,137.31,137.31,137.31,0.0
2023-01-19 23:00:00,137.49,137.49,137.49,137.49,0.0
2023-01-20 23:00:00,138.99,138.99,138.99,138.99,0.0
2023-01-23 23:00:00,140.25,140.25,140.25,140.25,0.0
2023-01-24 23:00:00,139.91,139.91,139.91,139.91,0.0
2023-01-25 23:00:00,139.75,139.75,139.75,139.75,0.0
2023-01-26 23:00:00,140.2,140.2,140.2,140.2,0.0
2023-01-27 23:00:00,139.6,139.6,139.6,139.6,0.0
2023-01-30 23:00:00,139.99,139.99,139.99,139.99,0.0
2023-01-31 23:00:00,139.85,139.85,139.85,139.85,0.0
2023-02-01 23:00:00,139.77,139.77,139.77,139.77,0.0
2023-02-02 23:00:00,138.74,138.74,138.74,138.74,0.0
2023-02-03 23:00:00,140.03,140.03,140.03,140.03,0.0
2023-02-10 23:00:00,138.85,138.85,138.85,138.85,0.0
2023-02-13 23:00:00,140.44,140.44,140.44,140.44,0.0
2023-02-14 23:00:00,141.35,141.35,141.35,141.35,0.0
2023-02-15 23:00:00,141.78,141.78,141.78,141.78,0.0
2023-02-16 23:00:00,141.6,141.6,141.6,141.6,0.0
2023-02-17 23:00:00,142.01,142.01,142.01,142.01,0.0
2023-02-20 23:00:00,142.01,142.01,142.01,142.01,0.0
2023-02-21 23:00:00,142.29,142.29,142.29,142.29,0.0
2023-02-22 23:00:00,141.65,141.65,141.65,141.65,0.0
2023-02-23 23:00:00,141.24,141.24,141.24,141.24,0.0
2023-02-24 23:00:00,142.53,142.53,142.53,142.53,0.0
2023-02-27 23:00:00,143.14,143.14,143.14,143.14,0.0
2023-02-28 23:00:00,143.91,143.91,142.57,142.67,205.0
2023-03-01 23:00:00,143.5,143.73,143.5,143.73,5.0
2023-03-02 23:00:00,143.55,143.55,143.46,143.46,1.0
2023-03-03 23:00:00,143.13,143.13,143.08,143.11,3.0
2023-03-06 23:00:00,143.71,144.35,143.62,143.92,41.0
2023-03-07 23:00:00,143.25,143.37,143.24,143.33,48.0
2023-03-08 23:00:00,143.09,143.58,142.94,143.42,111.0
2023-03-09 23:00:00,142.78,142.89,142.7,142.73,152.0
2023-03-10 23:00:00,142.95,142.95,142.11,142.2,336.0
2023-03-13 23:00:00,140.87,142.07,140.76,141.98,937.0
2023-03-14 23:00:00,143.06,143.18,142.72,142.9,341.0
2023-03-15 23:00:00,138.46,140.41,138.4,140.09,2382.0
2023-03-16 23:00:00,138.49,140.85,138.16,140.56,2345.0
2023-03-17 23:00:00,139.57,140.01,139.05,139.51,295.0
2023-03-20 23:00:00,139.79,140.26,139.68,139.68,501.0
2023-03-21 23:00:00,141.41,141.58,140.81,141.55,225.0
2023-03-22 23:00:00,141.93,142.06,141.2,141.85,639.0
2023-03-23 23:00:00,141.67,141.94,140.11,140.55,1100.0
2023-03-24 23:00:00,139.24,139.75,138.95,139.62,613.0
2023-03-27 23:00:00,140.95,141.16,140.55,140.98,237.0
2023-03-28 23:00:00,140.66,141.03,140.53,140.78,127.0
2023-03-29 23:00:00,142.65,143.07,142.23,142.81,439.0
2023-03-30 23:00:00,143.95,144.03,143.25,143.43,441.0
2023-03-31 23:00:00,143.83,143.9,142.89,143.04,239.0
2023-04-03 23:00:00,143.68,143.68,142.9,143.24,355.0
2023-04-04 23:00:00,143.68,143.74,143.06,143.19,425.0
2023-04-05 23:00:00,142.48,142.58,141.79,142.03,438.0
2023-04-06 09:30:00,142.48,142.68,142.4,142.68,25.0
2023-04-06 10:00:00,142.66,143.05,142.66,143.02,77.0
2023-04-06 11:00:00,142.94,142.99,142.9,142.99,10.0
2023-04-06 12:00:00,142.99,142.99,142.99,142.99,0.0
2023-04-06 13:00:00,142.98,143.06,142.98,143.06,13.0
2023-04-06 14:00:00,143.05,143.1,143.04,143.07,32.0
2023-04-06 15:00:00,143.04,143.1,143.02,143.02,13.0
2023-04-06 16:00:00,143.04,143.05,143.0,143.0,18.0
2023-04-06 23:00:00,142.48,143.1,142.4,143.09,188.0
2023-04-10 09:30:00,143.82,143.85,143.75,143.8,33.0
2023-04-10 10:00:00,143.83,144.16,143.83,144.16,59.0
2023-04-10 11:00:00,144.16,144.17,144.08,144.08,18.0
2023-04-10 12:00:00,144.05,144.15,144.05,144.14,6.0
2023-04-10 13:00:00,144.11,144.19,144.09,144.18,12.0
2023-04-10 14:00:00,144.16,144.21,144.14,144.21,32.0
2023-04-10 15:00:00,144.2,144.2,144.13,144.17,16.0
2023-04-10 16:00:00,144.2,144.26,144.16,144.21,197.0
2023-04-10 23:00:00,143.82,144.26,143.75,144.21,373.0
2023-04-11 09:30:00,144.51,144.69,144.47,144.65,88.0
2023-04-11 10:00:00,144.66,144.83,144.66,144.77,105.0
2023-04-11 11:00:00,144.85,144.93,144.8,144.8,10.0
2023-04-11 12:00:00,144.83,144.9,144.78,144.84,37.0
2023-04-11 13:00:00,144.88,144.88,144.79,144.85,18.0
2023-04-11 14:00:00,144.94,145.02,144.91,144.99,27.0
2023-04-11 15:00:00,145.02,145.04,145.0,145.0,39.0
2023-04-11 16:00:00,145.01,145.04,144.97,144.97,18.0
2023-04-11 23:00:00,144.51,145.04,144.47,144.97,342.0
2023-04-12 09:30:00,145.04,145.4,145.04,145.34,54.0
2023-04-12 10:00:00,145.39,145.58,145.35,145.42,99.0
2023-04-12 11:00:00,145.34,145.47,145.23,145.47,39.0
2023-04-12 12:00:00,145.51,145.51,145.38,145.38,4.0
2023-04-12 13:00:00,145.62,145.76,145.62,145.76,40.0
2023-04-12 14:00:00,145.72,145.72,145.41,145.52,5.0
2023-04-12 15:00:00,145.54,145.54,145.32,145.45,6.0
2023-04-12 16:00:00,145.46,145.48,145.41,145.48,13.0
2023-04-12 23:00:00,145.04,145.76,145.04,145.48,260.0
2023-04-13 09:30:00,145.48,145.48,145.22,145.35,28.0
2023-04-13 10:00:00,145.46,145.55,145.36,145.46,41.0
2023-04-13 11:00:00,145.41,145.49,145.41,145.44,10.0
2023-04-13 12:00:00,145.5,145.5,145.46,145.48,3.0
2023-04-13 13:00:00,145.51,145.66,145.5,145.65,8.0
2023-04-13 14:00:00,145.67,145.83,145.67,145.83,11.0
2023-04-13 15:00:00,145.78,145.81,145.73,145.81,24.0
2023-04-13 16:00:00,145.77,145.77,145.62,145.62,11.0
2023-04-13 23:00:00,145.48,145.83,145.22,145.62,136.0
2023-04-14 09:30:00,145.82,145.94,145.82,145.94,14.0
2023-04-14 10:00:00,146.0,146.05,145.9,146.04,66.0
2023-04-14 11:00:00,146.04,146.15,145.97,145.97,64.0
2023-04-14 12:00:00,146.03,146.03,146.02,146.03,6.0
2023-04-14 13:00:00,145.97,146.03,145.95,146.02,26.0
2023-04-14 14:00:00,146.13,146.29,146.13,146.29,11.0
2023-04-14 15:00:00,146.23,146.23,146.14,146.16,21.0
2023-04-14 16:00:00,146.24,146.25,146.21,146.21,17.0
2023-04-14 23:00:00,145.82,146.29,145.82,146.21,225.0
2023-04-17 09:30:00,146.14,146.21,145.98,145.98,33.0
2023-04-17 10:00:00,145.94,146.03,145.87,146.03,26.0
2023-04-17 11:00:00,146.04,146.04,145.93,145.96,20.0
2023-04-17 12:00:00,145.94,145.94,145.89,145.9,21.0
