DATETIME,reference_price,reference_contract,reference_date,optimal_position,weight_per_contract,previous_position,previous_weight,reduce_only,dont_trade,position_limit_contracts,position_limit_weight,optimum_weight,minimum_weight,maximum_weight,start_weight,optimised_weight,optimised_position
2023-06-01 18:52:54.648639,2.278,20230800,2023-06-01,-0.2580342341185315,0.10839745263131247,0,0.0,False,False,999999999,0.0,-0.027970253670120508,-108397452.52291502,108397452.52291502,0.0,0.0,0
2023-06-01 20:21:41.117011,2.278,20230800,2023-06-01,-0.2581268339023326,0.10839745263131247,0,0.0,False,False,999999999,0.0,-0.027980291250798758,-108397452.52291502,108397452.52291502,0.0,0.0,0
2023-06-01 20:46:30.610503,2.278,20230800,2023-06-01,-0.2581268339023326,0.10839745263131247,0,0.0,False,False,999999999,0.0,-0.027980291250798758,-108397452.52291502,108397452.52291502,0.0,0.0,0
2023-06-02 20:46:41.989877,2.278,20230800,2023-06-01,-0.2581268339023326,0.10832286719502358,0,0.0,False,False,999999999,0.0,-0.027961038748274287,-108322867.08670072,108322867.08670072,0.0,0.0,0
2023-06-04 20:46:27.984267,2.278,20230800,2023-06-01,-0.25830456629625487,0.10830014601027588,0,0.0,False,False,999999999,0.0,-0.027974422245005386,-108300145.90197574,108300145.90197574,0.0,0.0,0
2023-06-05 15:57:57.595131,2.302,20230800,2023-06-02,-0.2651326800993371,0.10944114842653865,0,0.0,False,False,999999999,0.0,-0.029016424995477543,-109441148.3170975,109441148.3170975,0.0,0.0,0
2023-06-05 20:46:38.195652,2.302,20230800,2023-06-02,-0.2651326800993371,0.10944114842653865,0,0.0,False,False,999999999,0.0,-0.029016424995477543,-109441148.3170975,109441148.3170975,0.0,0.0,0
2023-06-06 20:46:28.313288,2.302,20230800,2023-06-02,-0.2651326800993371,0.11200840386312992,0,0.0,False,False,999999999,0.0,-0.02969708830988058,-112008403.75112152,112008403.75112152,0.0,0.0,0
2023-06-07 20:46:24.693808,2.356,20230800,2023-06-05,-0.2667082491074561,0.11200840386312992,0,0.0,False,False,999999999,0.0,-0.029873565279656206,-112008403.75112152,112008403.75112152,0.0,0.0,0
2023-06-08 20:46:19.090998,2.356,20230800,2023-06-05,-0.26670824910745605,0.11866499662640854,0,0.0,False,False,999999999,0.0,-0.0316489334805716,-118664996.50774355,118664996.50774355,0.0,0.0,0
2023-06-09 20:46:27.500171,2.356,20230800,2023-06-05,-0.2517470705679684,0.11866499662640854,0,0.0,False,False,999999999,0.0,-0.029873565279656206,-118664996.50774355,118664996.50774355,0.0,0.0,0
2023-06-18 16:11:57.192647,2.706,20230900,2023-06-16,-0.23723077457170158,0.1362934978230312,0,0.0,False,False,999999999,0.0,-0.03233301205764422,-136293497.68673772,136293497.68673772,0.0,0.0,0
2023-06-20 03:45:32.109538,2.706,20230900,2023-06-16,-0.2372307745717017,0.1362934978230312,0,0.0,False,False,999999999,0.0,-0.03233301205764423,-136293497.68673772,136293497.68673772,0.0,0.0,0
2023-06-21 03:45:32.540292,2.706,20230900,2023-06-16,-0.3182399950623436,0.13613631944442697,0,0.0,False,False,999999999,0.0,-0.043324021627800066,-136136319.30829066,136136319.30829066,0.0,0.0,0
2023-06-21 18:50:32.980159,2.657,20230900,2023-06-21,-0.30386708228289827,0.13367117544857446,0,0.0,False,False,999999999,0.0,-0.04061827006888371,-133671175.31490329,133671175.31490329,0.0,0.0,0
2023-06-21 19:15:32.620286,2.657,20230900,2023-06-21,-0.30386708228289827,0.13367117544857446,0,0.0,False,False,999999999,0.0,-0.04061827006888371,-133671175.31490329,133671175.31490329,0.0,0.0,0
2023-06-22 18:50:31.838764,2.688,20230900,2023-06-22,-0.3011572808525842,0.1352307563439097,0,0.0,False,False,999999999,0.0,-0.0407257268681702,-135230756.20867896,135230756.20867896,0.0,0.0,0
2023-06-23 18:50:32.817593,2.813,20230900,2023-06-23,-0.2856563186109162,0.14096370061935834,0,0.0,False,False,999999999,0.0,-0.04026717177669723,-140963700.47839463,140963700.47839463,0.0,0.0,0
2023-06-25 18:50:32.418312,2.813,20230900,2023-06-23,-0.28555989727818376,0.14096370061935834,0,0.0,False,False,999999999,0.0,-0.040253579868816614,-140963700.47839463,140963700.47839463,0.0,0.0,0
2023-06-26 18:50:32.929104,2.85,20230900,2023-06-26,-0.277824272605241,0.14281782679174235,0,0.0,False,False,999999999,0.0,-0.039678258843477116,-142817826.64892453,142817826.64892453,0.0,0.0,0
2023-06-27 18:50:32.772101,2.768,20230900,2023-06-27,-0.26115538847269315,0.1393724082610578,0,0.0,False,False,999999999,0.0,-0.03639785542179134,-139372408.1216854,139372408.1216854,0.0,0.0,0
2023-06-28 18:50:32.155944,2.644,20230900,2023-06-28,-0.2474502462281002,0.1317993563166686,0,0.0,False,False,999999999,0.0,-0.03261378317326476,-131799356.18486923,131799356.18486923,0.0,0.0,0
2023-06-29 18:50:33.758375,2.687,20230900,2023-06-29,-0.2523948583751542,0.13195612456402792,0,0.0,False,False,999999999,0.0,-0.03330504737107203,-131956124.43207179,131956124.43207179,0.0,0.0,0
