DATETIME,optimal_position,reference_price,reference_contract,reference_date
2023-06-01 18:28:18.293589,0.003982950102576479,811.6,20230600,2023-06-01
2023-06-01 20:07:41.675463,0.003982950102576482,811.6,20230600,2023-06-01
2023-06-01 20:47:54.305405,0.003982950102576479,811.6,20230600,2023-06-01
2023-06-02 20:47:53.651406,0.003985692552797844,811.6,20230600,2023-06-01
2023-06-04 20:47:47.894612,0.0039865287442544155,811.6,20230600,2023-06-01
2023-06-05 15:50:06.917984,0.0034195910433666705,838.8,20230600,2023-06-02
2023-06-05 20:47:36.590970,0.00341959104336667,838.8,20230600,2023-06-02
2023-06-06 20:46:57.504347,0.003242581634469215,831.0,20230600,2023-06-05
2023-06-07 20:47:12.582147,0.003242581634469213,831.0,20230600,2023-06-05
2023-06-08 20:47:02.061947,0.00306068683772218,831.0,20230600,2023-06-05
2023-06-09 20:47:21.863459,0.003060686837722182,831.0,20230600,2023-06-05
2023-06-14 20:58:57.867468,0.003139817999790581,841.0,20230900,2023-06-14
2023-06-15 17:39:52.821793,0.003220237771513497,849.1,20230900,2023-06-15
2023-06-18 16:10:39.001625,0.0034522225062744555,848.5,20230900,2023-06-16
2023-06-20 03:32:51.088848,0.0034522225062744555,848.5,20230900,2023-06-16
2023-06-21 03:31:02.402615,0.004174126109568439,848.5,20230900,2023-06-16
2023-06-21 18:26:11.864026,0.003963541333715825,836.0,20230900,2023-06-21
