DATETIME,optimal_position,reference_price,reference_contract,reference_date
2023-06-01 18:28:19.837308,-5.638400563743591,19.4,20230800,2023-05-25
2023-06-01 20:07:43.329204,-5.638400563743591,19.4,20230800,2023-05-25
2023-06-01 20:47:55.850903,-5.638400563743591,19.4,20230800,2023-05-25
2023-06-02 20:47:55.234846,-5.642282870193818,19.4,20230800,2023-05-25
2023-06-04 20:47:49.455089,-5.643466611455629,19.4,20230800,2023-05-25
2023-06-05 15:50:08.575636,-5.758519730859782,19.3,20230800,2023-05-26
2023-06-05 20:47:38.200389,-5.758519730859782,19.3,20230800,2023-05-26
2023-06-06 20:46:59.116734,-5.758529450954411,19.3,20230800,2023-05-26
2023-06-07 20:47:14.207326,-5.758529450954411,19.3,20230800,2023-05-26
2023-06-08 20:47:03.688620,-5.435500869990215,19.3,20230800,2023-05-26
2023-06-09 20:47:23.477711,-5.435500869990216,19.3,20230800,2023-05-26
2023-06-14 20:58:59.463310,-5.4366380385504085,19.3,20230800,2023-05-26
2023-06-15 17:39:54.497068,-5.436642040381135,19.3,20230800,2023-05-26
2023-06-18 16:10:40.716429,-5.4046825452077965,19.15,20230800,2023-06-16
2023-06-20 03:32:52.666123,-5.4046825452077965,19.15,20230800,2023-06-16
